Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	7.1s	2764	1	FAIL	Checks for product-marketing.md	No output files were captured; model provided conversational text, not a file check or reference.	1	1
ab-testing	eval-1	with_skill	FAIL	7.1s	2764	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	7.1s	2764	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	7.1s	2764	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	7.1s	2764	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	7.1s	2764	6	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	14.1s	3495	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.1s	3495	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.1s	3495	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.1s	3495	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.1s	3495	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.1s	3495	6	FAIL	Mentions the 1% / 90% power user dynamic	Model mentions '2–3 regular posters' and 'lurkers', but never uses the terms '1%', '90%', 'power user dynamic', or the specific 1-9-90 metric framework. It describes the phenomenon qualitatively but …	2	1
ab-testing	eval-2	with_skill	FAIL	14.1s	3495	7	FAIL	Mentions warning sign of company-dominated posts	The model mentions 'People follow peers, not brands' and suggests empowering regular posters over 'a brand account', but it does not explicitly identify 'company-dominated posts' as a specific warnin…	2	1
ab-testing	eval-3	with_skill	FAIL	11.9s	3272	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.9s	3272	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.9s	3272	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.9s	3272	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.9s	3272	5	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	13.6s	3454	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.6s	3454	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.6s	3454	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.6s	3454	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.6s	3454	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	13.6s	3454	6	FAIL	May cross-reference referrals skill	The model output does not explicitly reference 'referrals' as a distinct skill, nor does it cross-reference a 'referrals skill' document or concept. It focuses on 'Ambassador Program', 'Champions', a…	4	1
