Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	10.3s	8033	1	FAIL	Checks for product-marketing.md	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	8
ab-testing	eval-1	with_skill	FAIL	10.3s	8033	2	FAIL	Defines the activation/aha moment	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	8
ab-testing	eval-1	with_skill	FAIL	10.3s	8033	3	FAIL	Evaluates time-to-value	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	8
ab-testing	eval-1	with_skill	FAIL	10.3s	8033	4	FAIL	Recommends onboarding flow approach	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	8
ab-testing	eval-1	with_skill	FAIL	10.3s	8033	5	FAIL	Applies checklist pattern with 3-7 items	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	8
ab-testing	eval-1	with_skill	FAIL	10.3s	8033	6	FAIL	Addresses empty states as opportunities	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	8
ab-testing	eval-1	with_skill	FAIL	10.3s	8033	7	FAIL	Provides experiment ideas	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	8
ab-testing	eval-1	with_skill	FAIL	10.3s	8033	8	FAIL	Includes measurement metrics	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	8
ab-testing	eval-2	with_skill	FAIL	11.2s	8101	1	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	11.2s	8101	2	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	11.2s	8101	3	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	11.2s	8101	4	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	11.2s	8101	5	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	11.2s	8101	6	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	11.2s	8101	7	FAIL	Addresses skipped items	No explicit guidance on handling users who skip items mid-checklist; only mentions 'Allow users to hide it after completion'	2	8
ab-testing	eval-2	with_skill	FAIL	11.2s	8101	8	PASS			2	8
ab-testing	eval-3	with_skill	FAIL	8.8s	7904	1	FAIL	Triggers on casual phrasing	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	3	8
ab-testing	eval-3	with_skill	FAIL	8.8s	7904	2	FAIL	Applies stalled users framework	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	3	8
ab-testing	eval-3	with_skill	FAIL	8.8s	7904	3	FAIL	Identifies potential root causes for drop-off	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	3	8
ab-testing	eval-3	with_skill	FAIL	8.8s	7904	4	FAIL	Recommends first-session experience improvements	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	3	8
ab-testing	eval-3	with_skill	FAIL	8.8s	7904	5	FAIL	Suggests multi-channel onboarding	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	3	8
ab-testing	eval-3	with_skill	FAIL	8.8s	7904	6	FAIL	Cross-references emails for re-engagement	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	3	8
ab-testing	eval-3	with_skill	FAIL	8.8s	7904	7	FAIL	Provides specific re-engagement triggers	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	3	8
ab-testing	eval-4	with_skill	FAIL	12.2s	8008	1	PASS			4	8
ab-testing	eval-4	with_skill	FAIL	12.2s	8008	2	PASS			4	8
ab-testing	eval-4	with_skill	FAIL	12.2s	8008	3	PASS			4	8
ab-testing	eval-4	with_skill	FAIL	12.2s	8008	4	PASS			4	8
ab-testing	eval-4	with_skill	FAIL	12.2s	8008	5	PASS			4	8
ab-testing	eval-4	with_skill	FAIL	12.2s	8008	6	PASS			4	8
ab-testing	eval-5	with_skill	FAIL	10.3s	8047	1	PASS			5	8
ab-testing	eval-5	with_skill	FAIL	10.3s	8047	2	PASS			5	8
ab-testing	eval-5	with_skill	FAIL	10.3s	8047	3	FAIL	Notes that combination approaches often work	No explicit mention of combination approaches working together; only mentions "Start with a setup wizard or checklist" and "Use tooltips only for specific next actions" without framing as combination…	5	8
ab-testing	eval-5	with_skill	FAIL	10.3s	8047	4	PASS			5	8
ab-testing	eval-5	with_skill	FAIL	10.3s	8047	5	FAIL	Addresses tooltip fatigue and tour length	Tour length addressed ("Tour is short (3-5 steps max)"), but tooltip fatigue not explicitly addressed - only mentions "Can feel intrusive; users dismiss them" in risk column	5	8
ab-testing	eval-5	with_skill	FAIL	10.3s	8047	6	PASS			5	8
ab-testing	eval-6	with_skill	FAIL	8.1s	7864	1	FAIL	Recognizes this as signup flow optimization, not onboarding	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agent evaluation run based on specific assertions. * **Role:** Strict JSON-only evaluator. * **…	6	8
ab-testing	eval-6	with_skill	FAIL	8.1s	7864	2	FAIL	References or defers to signup skill	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agent evaluation run based on specific assertions. * **Role:** Strict JSON-only evaluator. * **…	6	8
ab-testing	eval-6	with_skill	FAIL	8.1s	7864	3	FAIL	Explains that onboarding covers post-signup	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agent evaluation run based on specific assertions. * **Role:** Strict JSON-only evaluator. * **…	6	8
ab-testing	eval-6	with_skill	FAIL	8.1s	7864	4	FAIL	Does not attempt signup form redesign using onboarding patterns	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agent evaluation run based on specific assertions. * **Role:** Strict JSON-only evaluator. * **…	6	8
