Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	16.7s	4355	1	FAIL	Checks for product-marketing.md	"I won't ask for the product marketing file since this is a straightforward request"	1	7
ab-testing	eval-1	with_skill	FAIL	16.7s	4355	2	PASS			1	7
ab-testing	eval-1	with_skill	FAIL	16.7s	4355	3	PASS			1	7
ab-testing	eval-1	with_skill	FAIL	16.7s	4355	4	PASS			1	7
ab-testing	eval-1	with_skill	FAIL	16.7s	4355	5	PASS			1	7
ab-testing	eval-1	with_skill	FAIL	16.7s	4355	6	FAIL	Applies copy formulas from the skill	No reference to specific skill formulas or skill content applied	1	7
ab-testing	eval-1	with_skill	FAIL	16.7s	4355	7	PASS			1	7
ab-testing	eval-1	with_skill	FAIL	16.7s	4355	8	PASS			1	7
ab-testing	eval-1	with_skill	FAIL	16.7s	4355	9	FAIL	Includes conversion benchmarks	Asks "What's your current signup conversion rate" but provides no benchmark data	1	7
ab-testing	eval-2	with_skill	FAIL	15.6s	4262	1	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	15.6s	4262	2	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	15.6s	4262	3	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	15.6s	4262	4	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	15.6s	4262	5	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	15.6s	4262	6	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	15.6s	4262	7	PASS			2	7
ab-testing	eval-3	with_skill	FAIL	14.7s	4196	1	FAIL	Triggers on casual phrasing	No evidence of casual phrasing detection in output; input context not provided to verify this trigger	3	7
ab-testing	eval-3	with_skill	FAIL	14.7s	4196	2	PASS			3	7
ab-testing	eval-3	with_skill	FAIL	14.7s	4196	3	PASS			3	7
ab-testing	eval-3	with_skill	FAIL	14.7s	4196	4	PASS			3	7
ab-testing	eval-3	with_skill	FAIL	14.7s	4196	5	FAIL	Suggests excluding existing subscribers	Output says "Exclude converted users" not "existing subscribers" - different target audience	3	7
ab-testing	eval-3	with_skill	FAIL	14.7s	4196	6	PASS			3	7
ab-testing	eval-3	with_skill	FAIL	14.7s	4196	7	PASS			3	7
ab-testing	eval-4	with_skill	FAIL	15.5s	4255	1	PASS			4	7
ab-testing	eval-4	with_skill	FAIL	15.5s	4255	2	PASS			4	7
ab-testing	eval-4	with_skill	FAIL	15.5s	4255	3	FAIL	Suggests less intrusive formats (slide-in)	No mention of slide-in format or less intrusive popup alternatives in the output.	4	7
ab-testing	eval-4	with_skill	FAIL	15.5s	4255	4	PASS			4	7
ab-testing	eval-4	with_skill	FAIL	15.5s	4255	5	PASS			4	7
ab-testing	eval-4	with_skill	FAIL	15.5s	4255	6	PASS			4	7
ab-testing	eval-4	with_skill	FAIL	15.5s	4255	7	FAIL	Applies copy formulas	Provides example headlines but no copy formulas (AIDA, PAS, FAB, etc.) are explicitly applied or referenced.	4	7
ab-testing	eval-5	with_skill	FAIL	19.1s	4668	1	PASS			5	7
ab-testing	eval-5	with_skill	FAIL	19.1s	4668	2	PASS			5	7
ab-testing	eval-5	with_skill	FAIL	19.1s	4668	3	PASS			5	7
ab-testing	eval-5	with_skill	FAIL	19.1s	4668	4	PASS			5	7
ab-testing	eval-5	with_skill	FAIL	19.1s	4668	5	PASS			5	7
ab-testing	eval-5	with_skill	FAIL	19.1s	4668	6	PASS			5	7
ab-testing	eval-5	with_skill	FAIL	19.1s	4668	7	PASS			5	7
ab-testing	eval-6	with_skill	FAIL	9.2s	3791	1	PASS			6	7
ab-testing	eval-6	with_skill	FAIL	9.2s	3791	2	PASS			6	7
ab-testing	eval-6	with_skill	FAIL	9.2s	3791	3	PASS			6	7
ab-testing	eval-6	with_skill	FAIL	9.2s	3791	4	PASS			6	7
