Skill	Eval	Mode	Overall Result	Time	Total Tokens	Input Tokens	Output Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration	Workspace_Iteration
co-marketing	eval-1	with_skill	FAIL	18.9s	3645	2369	1275	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	1	iteration-510
co-marketing	eval-1	with_skill	FAIL	18.9s	3645	2369	1275	2	PASS			1	1	iteration-510
co-marketing	eval-1	with_skill	FAIL	18.9s	3645	2369	1275	3	PASS			1	1	iteration-510
co-marketing	eval-1	with_skill	FAIL	18.9s	3645	2369	1275	4	FAIL	Mentions Crossbeam or account overlap data	No mention of Crossbeam or account overlap data.	1	1	iteration-510
co-marketing	eval-1	with_skill	FAIL	18.9s	3645	2369	1275	5	PASS			1	1	iteration-510
co-marketing	eval-1	with_skill	FAIL	18.9s	3645	2369	1275	6	FAIL	Applies scoring criteria	No scoring matrix or criteria applied.	1	1	iteration-510
co-marketing	eval-2	with_skill	FAIL	16.8s	3557	2312	1244	1	PASS			2	1	iteration-510
co-marketing	eval-2	with_skill	FAIL	16.8s	3557	2312	1244	2	PASS			2	1	iteration-510
co-marketing	eval-2	with_skill	FAIL	16.8s	3557	2312	1244	3	PASS			2	1	iteration-510
co-marketing	eval-2	with_skill	FAIL	16.8s	3557	2312	1244	4	PASS			2	1	iteration-510
co-marketing	eval-2	with_skill	FAIL	16.8s	3557	2312	1244	5	FAIL	Uses brainstorming prompts	No prompts used; provided 5 ideas directly.	2	1	iteration-510
co-marketing	eval-3	with_skill	FAIL	4.6s	2746	1784	961	1	FAIL	Includes subject with both company names	Subject: Co-marketing idea: [Your Company] + [Partner Company]	3	1	iteration-510
co-marketing	eval-3	with_skill	FAIL	4.6s	2746	1784	961	2	PASS			3	1	iteration-510
co-marketing	eval-3	with_skill	FAIL	4.6s	2746	1784	961	3	PASS			3	1	iteration-510
co-marketing	eval-3	with_skill	FAIL	4.6s	2746	1784	961	4	PASS			3	1	iteration-510
co-marketing	eval-3	with_skill	FAIL	4.6s	2746	1784	961	5	FAIL	Keeps it short and personal	Email is long and uses formal structure	3	1	iteration-510
co-marketing	eval-3	with_skill	FAIL	4.6s	2746	1784	961	6	FAIL	Mentions what to prepare for the call	No preparation steps mentioned.	3	1	iteration-510
co-marketing	eval-4	with_skill	FAIL	14.1s	3370	2190	1179	1	PASS			4	1	iteration-510
co-marketing	eval-4	with_skill	FAIL	14.1s	3370	2190	1179	2	FAIL	Includes all 6 scoring dimensions	Only 2 axes (Impact, Velocity) used.	4	1	iteration-510
co-marketing	eval-4	with_skill	FAIL	14.1s	3370	2190	1179	3	FAIL	Weights by goal	No weights or goal metrics provided	4	1	iteration-510
co-marketing	eval-4	with_skill	FAIL	14.1s	3370	2190	1179	4	PASS			4	1	iteration-510
co-marketing	eval-4	with_skill	FAIL	14.1s	3370	2190	1179	5	PASS			4	1	iteration-510
co-marketing	eval-5	with_skill	FAIL	20.8s	3744	2433	1310	1	PASS			5	1	iteration-510
co-marketing	eval-5	with_skill	FAIL	20.8s	3744	2433	1310	2	FAIL	Recommends documenting in agreement	No mention of documenting in agreement	5	1	iteration-510
co-marketing	eval-5	with_skill	FAIL	20.8s	3744	2433	1310	3	PASS			5	1	iteration-510
co-marketing	eval-5	with_skill	FAIL	20.8s	3744	2433	1310	4	PASS			5	1	iteration-510
co-marketing	eval-5	with_skill	FAIL	20.8s	3744	2433	1310	5	FAIL	Recommends post-campaign debrief	No mention of debrief or review meeting.	5	1	iteration-510
co-marketing	eval-6	with_skill	FAIL	7.3s	2860	1859	1000	1	PASS			6	1	iteration-510
co-marketing	eval-6	with_skill	FAIL	7.3s	2860	1859	1000	2	PASS			6	1	iteration-510
co-marketing	eval-6	with_skill	FAIL	7.3s	2860	1859	1000	3	PASS			6	1	iteration-510
co-marketing	eval-6	with_skill	FAIL	7.3s	2860	1859	1000	4	PASS			6	1	iteration-510
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	2	PASS			1	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	3	PASS			1	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	4	PASS			1	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	5	PASS			1	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	6	PASS			1	2	iteration-511
co-marketing	eval-2	with_skill	FAIL	14.4s	3433	2231	1201	1	PASS			2	2	iteration-511
co-marketing	eval-2	with_skill	FAIL	14.4s	3433	2231	1201	2	PASS			2	2	iteration-511
co-marketing	eval-2	with_skill	FAIL	14.4s	3433	2231	1201	3	PASS			2	2	iteration-511
co-marketing	eval-2	with_skill	FAIL	14.4s	3433	2231	1201	4	PASS			2	2	iteration-511
co-marketing	eval-2	with_skill	FAIL	14.4s	3433	2231	1201	5	FAIL	Uses brainstorming prompts	Asks clarifying questions, not prompts	2	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	1	FAIL	Includes subject with both company names	Subject uses placeholders, not names	3	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	2	PASS			3	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	3	PASS			3	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	4	PASS			3	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	5	PASS			3	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	6	FAIL	Mentions what to prepare for the call	No preparation mentioned	3	2	iteration-511
co-marketing	eval-4	with_skill	FAIL	14.5s	3431	2230	1200	1	PASS			4	2	iteration-511
co-marketing	eval-4	with_skill	FAIL	14.5s	3431	2230	1200	2	FAIL	Includes all 6 scoring dimensions	Only 4 dimensions listed in scorecard	4	2	iteration-511
co-marketing	eval-4	with_skill	FAIL	14.5s	3431	2230	1200	3	PASS			4	2	iteration-511
co-marketing	eval-4	with_skill	FAIL	14.5s	3431	2230	1200	4	PASS			4	2	iteration-511
co-marketing	eval-4	with_skill	FAIL	14.5s	3431	2230	1200	5	PASS			4	2	iteration-511
co-marketing	eval-5	with_skill	FAIL	20.9s	3854	2505	1348	1	PASS			5	2	iteration-511
co-marketing	eval-5	with_skill	FAIL	20.9s	3854	2505	1348	2	PASS			5	2	iteration-511
co-marketing	eval-5	with_skill	FAIL	20.9s	3854	2505	1348	3	PASS			5	2	iteration-511
co-marketing	eval-5	with_skill	FAIL	20.9s	3854	2505	1348	4	FAIL	Mentions measuring lead quality not just volume	No mention of lead quality metrics	5	2	iteration-511
co-marketing	eval-5	with_skill	FAIL	20.9s	3854	2505	1348	5	PASS			5	2	iteration-511
co-marketing	eval-6	with_skill	FAIL	11.6s	3244	2108	1135	1	PASS			6	2	iteration-511
co-marketing	eval-6	with_skill	FAIL	11.6s	3244	2108	1135	2	PASS			6	2	iteration-511
co-marketing	eval-6	with_skill	FAIL	11.6s	3244	2108	1135	3	PASS			6	2	iteration-511
co-marketing	eval-6	with_skill	FAIL	11.6s	3244	2108	1135	4	PASS			6	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	20.4s	3744	2433	1310	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	3	iteration-512
co-marketing	eval-1	with_skill	FAIL	20.4s	3744	2433	1310	2	PASS			1	3	iteration-512
co-marketing	eval-1	with_skill	FAIL	20.4s	3744	2433	1310	3	PASS			1	3	iteration-512
co-marketing	eval-1	with_skill	FAIL	20.4s	3744	2433	1310	4	FAIL	Mentions Crossbeam or account overlap data	No mention of Crossbeam or account overlap data.	1	3	iteration-512
co-marketing	eval-1	with_skill	FAIL	20.4s	3744	2433	1310	5	PASS			1	3	iteration-512
co-marketing	eval-1	with_skill	FAIL	20.4s	3744	2433	1310	6	PASS			1	3	iteration-512
co-marketing	eval-2	with_skill	FAIL	10.5s	3208	2085	1122	1	PASS			2	3	iteration-512
co-marketing	eval-2	with_skill	FAIL	10.5s	3208	2085	1122	2	FAIL	Proposes campaigns across multiple types (content, events, integration, community)	Missing community and integration campaigns	2	3	iteration-512
co-marketing	eval-2	with_skill	FAIL	10.5s	3208	2085	1122	3	PASS			2	3	iteration-512
co-marketing	eval-2	with_skill	FAIL	10.5s	3208	2085	1122	4	PASS			2	3	iteration-512
co-marketing	eval-2	with_skill	FAIL	10.5s	3208	2085	1122	5	FAIL	Uses brainstorming prompts	Model asks clarifying questions, not prompts.	2	3	iteration-512
co-marketing	eval-3	with_skill	FAIL	7.1s	2962	1925	1036	1	FAIL	Includes subject with both company names	Subject: Co-marketing idea: [Your Company] + [Partner Company]	3	3	iteration-512
co-marketing	eval-3	with_skill	FAIL	7.1s	2962	1925	1036	2	PASS			3	3	iteration-512
co-marketing	eval-3	with_skill	FAIL	7.1s	2962	1925	1036	3	PASS			3	3	iteration-512
co-marketing	eval-3	with_skill	FAIL	7.1s	2962	1925	1036	4	PASS			3	3	iteration-512
co-marketing	eval-3	with_skill	FAIL	7.1s	2962	1925	1036	5	FAIL	Keeps it short and personal	Includes long analysis section	3	3	iteration-512
co-marketing	eval-3	with_skill	FAIL	7.1s	2962	1925	1036	6	PASS			3	3	iteration-512
co-marketing	eval-4	with_skill	FAIL	15.7s	3482	2263	1218	1	PASS			4	3	iteration-512
co-marketing	eval-4	with_skill	FAIL	15.7s	3482	2263	1218	2	FAIL	Includes all 6 scoring dimensions	Only 5 dimensions listed in table	4	3	iteration-512
co-marketing	eval-4	with_skill	FAIL	15.7s	3482	2263	1218	3	FAIL	Weights by goal	Model asks for goal instead of applying weights	4	3	iteration-512
co-marketing	eval-4	with_skill	FAIL	15.7s	3482	2263	1218	4	PASS			4	3	iteration-512
co-marketing	eval-4	with_skill	FAIL	15.7s	3482	2263	1218	5	PASS			4	3	iteration-512
co-marketing	eval-5	with_skill	FAIL	17.9s	3639	2365	1273	1	PASS			5	3	iteration-512
co-marketing	eval-5	with_skill	FAIL	17.9s	3639	2365	1273	2	PASS			5	3	iteration-512
co-marketing	eval-5	with_skill	FAIL	17.9s	3639	2365	1273	3	FAIL	Lists agreement components	No agreement components listed	5	3	iteration-512
co-marketing	eval-5	with_skill	FAIL	17.9s	3639	2365	1273	4	FAIL	Mentions measuring lead quality not just volume	No mention of lead quality metrics	5	3	iteration-512
co-marketing	eval-5	with_skill	FAIL	17.9s	3639	2365	1273	5	FAIL	Recommends post-campaign debrief	No mention of debrief or review meeting.	5	3	iteration-512
co-marketing	eval-6	with_skill	FAIL	8.1s	2891	1879	1011	1	PASS			6	3	iteration-512
co-marketing	eval-6	with_skill	FAIL	8.1s	2891	1879	1011	2	PASS			6	3	iteration-512
co-marketing	eval-6	with_skill	FAIL	8.1s	2891	1879	1011	3	PASS			6	3	iteration-512
co-marketing	eval-6	with_skill	FAIL	8.1s	2891	1879	1011	4	PASS			6	3	iteration-512
co-marketing	eval-1	with_skill	FAIL	21.1s	3817	2481	1335	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	4	iteration-513
co-marketing	eval-1	with_skill	FAIL	21.1s	3817	2481	1335	2	PASS			1	4	iteration-513
co-marketing	eval-1	with_skill	FAIL	21.1s	3817	2481	1335	3	PASS			1	4	iteration-513
co-marketing	eval-1	with_skill	FAIL	21.1s	3817	2481	1335	4	FAIL	Mentions Crossbeam or account overlap data	No mention of Crossbeam or account overlap data	1	4	iteration-513
co-marketing	eval-1	with_skill	FAIL	21.1s	3817	2481	1335	5	PASS			1	4	iteration-513
co-marketing	eval-1	with_skill	FAIL	21.1s	3817	2481	1335	6	PASS			1	4	iteration-513
co-marketing	eval-2	with_skill	FAIL	18.5s	3709	2410	1298	1	PASS			2	4	iteration-513
co-marketing	eval-2	with_skill	FAIL	18.5s	3709	2410	1298	2	PASS			2	4	iteration-513
co-marketing	eval-2	with_skill	FAIL	18.5s	3709	2410	1298	3	PASS			2	4	iteration-513
co-marketing	eval-2	with_skill	FAIL	18.5s	3709	2410	1298	4	PASS			2	4	iteration-513
co-marketing	eval-2	with_skill	FAIL	18.5s	3709	2410	1298	5	FAIL	Uses brainstorming prompts	No brainstorming prompts found	2	4	iteration-513
co-marketing	eval-3	with_skill	FAIL	7.5s	2995	1946	1048	1	PASS			3	4	iteration-513
co-marketing	eval-3	with_skill	FAIL	7.5s	2995	1946	1048	2	PASS			3	4	iteration-513
co-marketing	eval-3	with_skill	FAIL	7.5s	2995	1946	1048	3	PASS			3	4	iteration-513
co-marketing	eval-3	with_skill	FAIL	7.5s	2995	1946	1048	4	PASS			3	4	iteration-513
co-marketing	eval-3	with_skill	FAIL	7.5s	2995	1946	1048	5	FAIL	Keeps it short and personal	Email draft is long and includes strategic breakdown.	3	4	iteration-513
co-marketing	eval-3	with_skill	FAIL	7.5s	2995	1946	1048	6	FAIL	Mentions what to prepare for the call	No call prep mentioned	3	4	iteration-513
co-marketing	eval-4	with_skill	FAIL	14.8s	3461	2249	1211	1	PASS			4	4	iteration-513
co-marketing	eval-4	with_skill	FAIL	14.8s	3461	2249	1211	2	FAIL	Includes all 6 scoring dimensions	Only 4 dimensions listed in matrix	4	4	iteration-513
co-marketing	eval-4	with_skill	FAIL	14.8s	3461	2249	1211	3	FAIL	Weights by goal	No weights or scoring matrix provided	4	4	iteration-513
co-marketing	eval-4	with_skill	FAIL	14.8s	3461	2249	1211	4	PASS			4	4	iteration-513
co-marketing	eval-4	with_skill	FAIL	14.8s	3461	2249	1211	5	PASS			4	4	iteration-513
co-marketing	eval-5	with_skill	FAIL	19.9s	3651	2373	1277	1	PASS			5	4	iteration-513
co-marketing	eval-5	with_skill	FAIL	19.9s	3651	2373	1277	2	PASS			5	4	iteration-513
co-marketing	eval-5	with_skill	FAIL	19.9s	3651	2373	1277	3	PASS			5	4	iteration-513
co-marketing	eval-5	with_skill	FAIL	19.9s	3651	2373	1277	4	PASS			5	4	iteration-513
co-marketing	eval-5	with_skill	FAIL	19.9s	3651	2373	1277	5	FAIL	Recommends post-campaign debrief	No mention of a debrief or review meeting.	5	4	iteration-513
co-marketing	eval-6	with_skill	FAIL	10.6s	3080	2002	1078	1	PASS			6	4	iteration-513
co-marketing	eval-6	with_skill	FAIL	10.6s	3080	2002	1078	2	PASS			6	4	iteration-513
co-marketing	eval-6	with_skill	FAIL	10.6s	3080	2002	1078	3	PASS			6	4	iteration-513
co-marketing	eval-6	with_skill	FAIL	10.6s	3080	2002	1078	4	PASS			6	4	iteration-513
co-marketing	eval-1	with_skill	FAIL	23.1s	3933	2556	1376	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	5	iteration-514
co-marketing	eval-1	with_skill	FAIL	23.1s	3933	2556	1376	2	PASS			1	5	iteration-514
co-marketing	eval-1	with_skill	FAIL	23.1s	3933	2556	1376	3	PASS			1	5	iteration-514
co-marketing	eval-1	with_skill	FAIL	23.1s	3933	2556	1376	4	FAIL	Mentions Crossbeam or account overlap data	No mention of Crossbeam or account overlap data	1	5	iteration-514
co-marketing	eval-1	with_skill	FAIL	23.1s	3933	2556	1376	5	PASS			1	5	iteration-514
co-marketing	eval-1	with_skill	FAIL	23.1s	3933	2556	1376	6	PASS			1	5	iteration-514
co-marketing	eval-2	with_skill	FAIL	15.9s	3545	2304	1240	1	PASS			2	5	iteration-514
co-marketing	eval-2	with_skill	FAIL	15.9s	3545	2304	1240	2	PASS			2	5	iteration-514
co-marketing	eval-2	with_skill	FAIL	15.9s	3545	2304	1240	3	PASS			2	5	iteration-514
co-marketing	eval-2	with_skill	FAIL	15.9s	3545	2304	1240	4	PASS			2	5	iteration-514
co-marketing	eval-2	with_skill	FAIL	15.9s	3545	2304	1240	5	FAIL	Uses brainstorming prompts	No prompts used; provided 5 ideas directly.	2	5	iteration-514
co-marketing	eval-3	with_skill	FAIL	8.2s	3048	1981	1066	1	PASS			3	5	iteration-514
co-marketing	eval-3	with_skill	FAIL	8.2s	3048	1981	1066	2	PASS			3	5	iteration-514
co-marketing	eval-3	with_skill	FAIL	8.2s	3048	1981	1066	3	PASS			3	5	iteration-514
co-marketing	eval-3	with_skill	FAIL	8.2s	3048	1981	1066	4	PASS			3	5	iteration-514
co-marketing	eval-3	with_skill	FAIL	8.2s	3048	1981	1066	5	FAIL	Keeps it short and personal	Email is long with detailed rationale.	3	5	iteration-514
co-marketing	eval-3	with_skill	FAIL	8.2s	3048	1981	1066	6	FAIL	Mentions what to prepare for the call	No preparation steps listed for the call.	3	5	iteration-514
co-marketing	eval-4	with_skill	FAIL	15.2s	3486	2265	1220	1	PASS			4	5	iteration-514
co-marketing	eval-4	with_skill	FAIL	15.2s	3486	2265	1220	2	FAIL	Includes all 6 scoring dimensions	Only 4 dimensions in table	4	5	iteration-514
co-marketing	eval-4	with_skill	FAIL	15.2s	3486	2265	1220	3	FAIL	Weights by goal	No weights or goal values provided	4	5	iteration-514
co-marketing	eval-4	with_skill	FAIL	15.2s	3486	2265	1220	4	PASS			4	5	iteration-514
co-marketing	eval-4	with_skill	FAIL	15.2s	3486	2265	1220	5	FAIL	Recommends starting with low-effort format	No mention of low-effort format	4	5	iteration-514
co-marketing	eval-5	with_skill	FAIL	20.5s	3744	2433	1310	1	PASS			5	5	iteration-514
