Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	28.0s	10348	1	FAIL	Checks for product-marketing.md	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Input:** A model output (the text provided in the prompt) an…	1	1
ab-testing	eval-1	with_skill	FAIL	28.0s	10348	2	FAIL	Identifies as Personas playbook	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Input:** A model output (the text provided in the prompt) an…	1	1
ab-testing	eval-1	with_skill	FAIL	28.0s	10348	3	FAIL	Applies core principles (unique value, proprietary data, clean URLs)	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Input:** A model output (the text provided in the prompt) an…	1	1
ab-testing	eval-1	with_skill	FAIL	28.0s	10348	4	FAIL	Recommends keyword research per variation	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Input:** A model output (the text provided in the prompt) an…	1	1
ab-testing	eval-1	with_skill	FAIL	28.0s	10348	5	FAIL	Addresses data requirements for unique content	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Input:** A model output (the text provided in the prompt) an…	1	1
ab-testing	eval-1	with_skill	FAIL	28.0s	10348	6	FAIL	Provides template design guidance	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Input:** A model output (the text provided in the prompt) an…	1	1
ab-testing	eval-1	with_skill	FAIL	28.0s	10348	7	FAIL	Includes internal linking strategy	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Input:** A model output (the text provided in the prompt) an…	1	1
ab-testing	eval-1	with_skill	FAIL	28.0s	10348	8	FAIL	Warns against thin content	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Input:** A model output (the text provided in the prompt) an…	1	1
ab-testing	eval-2	with_skill	FAIL	34.7s	10862	1	FAIL	Identifies as Comparisons playbook	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run based on specific assertions. * **Role:** Strict JSON-only evalua…	2	1
ab-testing	eval-2	with_skill	FAIL	34.7s	10862	2	FAIL	Recommends template structure for scale	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run based on specific assertions. * **Role:** Strict JSON-only evalua…	2	1
ab-testing	eval-2	with_skill	FAIL	34.7s	10862	3	FAIL	Addresses unique data per comparison	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run based on specific assertions. * **Role:** Strict JSON-only evalua…	2	1
ab-testing	eval-2	with_skill	FAIL	34.7s	10862	4	FAIL	Includes keyword research for variations	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run based on specific assertions. * **Role:** Strict JSON-only evalua…	2	1
ab-testing	eval-2	with_skill	FAIL	34.7s	10862	5	FAIL	Provides URL structure recommendation	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run based on specific assertions. * **Role:** Strict JSON-only evalua…	2	1
ab-testing	eval-2	with_skill	FAIL	34.7s	10862	6	FAIL	Includes internal linking strategy	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run based on specific assertions. * **Role:** Strict JSON-only evalua…	2	1
ab-testing	eval-2	with_skill	FAIL	34.7s	10862	7	FAIL	Cross-references competitors skill	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run based on specific assertions. * **Role:** Strict JSON-only evalua…	2	1
ab-testing	eval-2	with_skill	FAIL	34.7s	10862	8	FAIL	Applies quality checks	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run based on specific assertions. * **Role:** Strict JSON-only evalua…	2	1
ab-testing	eval-3	with_skill	FAIL	22.8s	9921	1	FAIL	Triggers on casual phrasing	No evidence of casual phrasing detection in output. Output begins with analysis without identifying user input style.	3	1
ab-testing	eval-3	with_skill	FAIL	22.8s	9921	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	22.8s	9921	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	22.8s	9921	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	22.8s	9921	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	22.8s	9921	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	22.8s	9921	7	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	18.6s	9564	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	18.6s	9564	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	18.6s	9564	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	18.6s	9564	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	18.6s	9564	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	18.6s	9564	6	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	18.6s	9564	7	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	25.7s	10164	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.7s	10164	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.7s	10164	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.7s	10164	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.7s	10164	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.7s	10164	6	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	25.7s	10164	7	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	12.8s	9081	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	12.8s	9081	2	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	12.8s	9081	3	FAIL	Explains that programmatic-seo is for strategy and template design	No statement in output explicitly explains programmatic-seo skill is for strategy and template design. Output discusses programmatic SEO audit framework but does not make the skill distinction.	6	1
ab-testing	eval-6	with_skill	FAIL	12.8s	9081	4	PASS			6	1
ab-testing	eval-1	with_skill	FAIL	23.1s	9957	1	FAIL	Checks for product-marketing.md	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	2
ab-testing	eval-1	with_skill	FAIL	23.1s	9957	2	FAIL	Identifies as Personas playbook	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	2
ab-testing	eval-1	with_skill	FAIL	23.1s	9957	3	FAIL	Applies core principles (unique value, proprietary data, clean URLs)	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	2
ab-testing	eval-1	with_skill	FAIL	23.1s	9957	4	FAIL	Recommends keyword research per variation	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	2
ab-testing	eval-1	with_skill	FAIL	23.1s	9957	5	FAIL	Addresses data requirements for unique content	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	2
ab-testing	eval-1	with_skill	FAIL	23.1s	9957	6	FAIL	Provides template design guidance	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	2
ab-testing	eval-1	with_skill	FAIL	23.1s	9957	7	FAIL	Includes internal linking strategy	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	2
ab-testing	eval-1	with_skill	FAIL	23.1s	9957	8	FAIL	Warns against thin content	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	2
ab-testing	eval-2	with_skill	FAIL	28.8s	10393	1	FAIL	Identifies as Comparisons playbook	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	28.8s	10393	2	FAIL	Recommends template structure for scale	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	28.8s	10393	3	FAIL	Addresses unique data per comparison	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	28.8s	10393	4	FAIL	Includes keyword research for variations	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	28.8s	10393	5	FAIL	Provides URL structure recommendation	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	28.8s	10393	6	FAIL	Includes internal linking strategy	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	28.8s	10393	7	FAIL	Cross-references competitors skill	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	28.8s	10393	8	FAIL	Applies quality checks	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-3	with_skill	FAIL	26.2s	10195	1	FAIL	Triggers on casual phrasing	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model output against each assertion and provide evidence for whether each …	3	2
ab-testing	eval-3	with_skill	FAIL	26.2s	10195	2	FAIL	Identifies as Integrations playbook	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model output against each assertion and provide evidence for whether each …	3	2
ab-testing	eval-3	with_skill	FAIL	26.2s	10195	3	FAIL	Recommends template with unique content per integration	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model output against each assertion and provide evidence for whether each …	3	2
ab-testing	eval-3	with_skill	FAIL	26.2s	10195	4	FAIL	Includes setup steps and use cases per page	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model output against each assertion and provide evidence for whether each …	3	2
ab-testing	eval-3	with_skill	FAIL	26.2s	10195	5	FAIL	Provides URL structure recommendation	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model output against each assertion and provide evidence for whether each …	3	2
ab-testing	eval-3	with_skill	FAIL	26.2s	10195	6	FAIL	Recommends hub page for all integrations	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model output against each assertion and provide evidence for whether each …	3	2
ab-testing	eval-3	with_skill	FAIL	26.2s	10195	7	FAIL	Emphasizes genuine unique value per page	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model output against each assertion and provide evidence for whether each …	3	2
ab-testing	eval-4	with_skill	FAIL	16.7s	9416	1	FAIL	Diagnoses indexation problem	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run based on provided Assertions and Model Output. * Role: Strict JSON-on…	4	2
ab-testing	eval-4	with_skill	FAIL	16.7s	9416	2	FAIL	Investigates thin content as likely cause	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run based on provided Assertions and Model Output. * Role: Strict JSON-on…	4	2
ab-testing	eval-4	with_skill	FAIL	16.7s	9416	3	FAIL	Checks crawl budget considerations	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run based on provided Assertions and Model Output. * Role: Strict JSON-on…	4	2
ab-testing	eval-4	with_skill	FAIL	16.7s	9416	4	FAIL	Checks internal linking to programmatic pages	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run based on provided Assertions and Model Output. * Role: Strict JSON-on…	4	2
ab-testing	eval-4	with_skill	FAIL	16.7s	9416	5	FAIL	Checks XML sitemap and robots.txt	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run based on provided Assertions and Model Output. * Role: Strict JSON-on…	4	2
ab-testing	eval-4	with_skill	FAIL	16.7s	9416	6	FAIL	Recommends specific fixes for indexation	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run based on provided Assertions and Model Output. * Role: Strict JSON-on…	4	2
ab-testing	eval-4	with_skill	FAIL	16.7s	9416	7	FAIL	Warns about Google's thin content policies	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run based on provided Assertions and Model Output. * Role: Strict JSON-on…	4	2
ab-testing	eval-5	with_skill	FAIL	18.4s	9530	1	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	18.4s	9530	2	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	18.4s	9530	3	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	18.4s	9530	4	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	18.4s	9530	5	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	18.4s	9530	6	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	18.4s	9530	7	PASS			5	2
ab-testing	eval-6	with_skill	FAIL	13.5s	9155	1	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	13.5s	9155	2	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	13.5s	9155	3	FAIL	Explains that programmatic-seo is for strategy and template design	No explicit explanation of what programmatic-seo skill is for; only mentions content-strategy for planning.	6	2
ab-testing	eval-6	with_skill	FAIL	13.5s	9155	4	PASS			6	2
ab-testing	eval-1	with_skill	FAIL	17.9s	9522	1	FAIL	Checks for product-marketing.md	Since I don't have access to their file system, I can't check for `.agents/product-marketing.md` or similar files.	1	3
ab-testing	eval-1	with_skill	FAIL	17.9s	9522	2	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	17.9s	9522	3	PASS			1	3
