Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	21.5s	32000	1	FAIL	Checks for product-marketing.md	No reference to product-marketing.md file in output	1	4
ab-testing	eval-1	with_skill	FAIL	21.5s	32000	2	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	21.5s	32000	3	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	21.5s	32000	4	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	21.5s	32000	5	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	21.5s	32000	6	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	21.5s	32000	7	PASS			1	4
ab-testing	eval-2	with_skill	FAIL	21.5s	31991	1	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	21.5s	31991	2	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	21.5s	31991	3	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	21.5s	31991	4	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	21.5s	31991	5	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	21.5s	31991	6	FAIL	Defines MQL and SQL score thresholds	MQL threshold defined: 'MQL Threshold: 75 Points' with 'Minimum 30 fit points' and 'Minimum 25 engagement points'. No SQL threshold is defined in the output.	2	4
ab-testing	eval-2	with_skill	FAIL	21.5s	31991	7	PASS			2	4
ab-testing	eval-3	with_skill	FAIL	13.8s	31344	1	FAIL	Triggers on casual phrasing	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Input: A list of 7 assertions and a model output (text). * Constra…	3	4
ab-testing	eval-3	with_skill	FAIL	13.8s	31344	2	FAIL	Applies pipeline stage management	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Input: A list of 7 assertions and a model output (text). * Constra…	3	4
ab-testing	eval-3	with_skill	FAIL	13.8s	31344	3	FAIL	Defines stages with entry/exit criteria	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Input: A list of 7 assertions and a model output (text). * Constra…	3	4
ab-testing	eval-3	with_skill	FAIL	13.8s	31344	4	FAIL	Recommends maximum time per stage	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Input: A list of 7 assertions and a model output (text). * Constra…	3	4
ab-testing	eval-3	with_skill	FAIL	13.8s	31344	5	FAIL	Addresses deal hygiene and pipeline reviews	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Input: A list of 7 assertions and a model output (text). * Constra…	3	4
ab-testing	eval-3	with_skill	FAIL	13.8s	31344	6	FAIL	Recommends CRM automation for enforcement	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Input: A list of 7 assertions and a model output (text). * Constra…	3	4
ab-testing	eval-3	with_skill	FAIL	13.8s	31344	7	FAIL	Provides practical cleanup plan	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agentskills.io evaluation run. * Input: A list of 7 assertions and a model output (text). * Constra…	3	4
ab-testing	eval-4	with_skill	FAIL	24.2s	32039	1	PASS			4	4
ab-testing	eval-4	with_skill	FAIL	24.2s	32039	2	PASS			4	4
ab-testing	eval-4	with_skill	FAIL	24.2s	32039	3	PASS			4	4
ab-testing	eval-4	with_skill	FAIL	24.2s	32039	4	PASS			4	4
ab-testing	eval-4	with_skill	FAIL	24.2s	32039	5	PASS			4	4
ab-testing	eval-4	with_skill	FAIL	24.2s	32039	6	PASS			4	4
ab-testing	eval-4	with_skill	FAIL	24.2s	32039	7	FAIL	Recommends dashboard structure and review cadence	Dashboard structure clearly recommended with three views and implementation guide, but review cadence only mentions 'weekly dashboard refresh' without explicit leadership review cadence recommendatio…	4	4
ab-testing	eval-5	with_skill	FAIL	23.4s	32231	1	PASS			5	4
ab-testing	eval-5	with_skill	FAIL	23.4s	32231	2	PASS			5	4
ab-testing	eval-5	with_skill	FAIL	23.4s	32231	3	PASS			5	4
ab-testing	eval-5	with_skill	FAIL	23.4s	32231	4	PASS			5	4
ab-testing	eval-5	with_skill	FAIL	23.4s	32231	5	PASS			5	4
ab-testing	eval-5	with_skill	FAIL	23.4s	32231	6	PASS			5	4
ab-testing	eval-5	with_skill	FAIL	23.4s	32231	7	PASS			5	4
ab-testing	eval-6	with_skill	FAIL	6.5s	30757	1	PASS			6	4
ab-testing	eval-6	with_skill	FAIL	6.5s	30757	2	PASS			6	4
ab-testing	eval-6	with_skill	FAIL	6.5s	30757	3	PASS			6	4
