Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	25.6s	25992	1	FAIL	Checks for product-marketing.md	No mention or file reference to 'product-marketing.md' found in the output. The output is a text-based strategy guide.	1	1
ab-testing	eval-1	with_skill	FAIL	25.6s	25992	2	FAIL	Runs compliance/A2P 10DLC readiness check	The output provides instructions on how to register for A2P 10DLC ('You must register for A2P 10DLC via The Campaign Registry') but does not perform an actual readiness check or validation against sp…	1	1
ab-testing	eval-1	with_skill	FAIL	25.6s	25992	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	25.6s	25992	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	25.6s	25992	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	25.6s	25992	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	25.6s	25992	7	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	25.6s	25992	8	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	22.3s	25627	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	22.3s	25627	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	22.3s	25627	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	22.3s	25627	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	22.3s	25627	5	FAIL	Character counts shown, target ~160 GSM-7	Send 1 includes a character count (~115 chars). Send 2 and Send 3 templates do not provide explicit character counts or GSM-7 targets.	2	1
ab-testing	eval-2	with_skill	FAIL	22.3s	25627	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	22.3s	25627	7	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	22.3s	25627	8	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	22.3s	25627	9	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	13.0s	24959	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.0s	24959	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.0s	24959	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.0s	24959	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.0s	24959	5	FAIL	Mentions class action risk	The model mentions 'TCPA lawsuits' and 'legal and financial risk' but does not explicitly mention 'class action' or 'class action lawsuit'.	3	1
ab-testing	eval-3	with_skill	FAIL	13.0s	24959	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.0s	24959	7	FAIL	References compliance.md	The model states: 'For detailed opt-in disclosure templates and STOP/HELP response requirements, see the compliance section.' It does not reference a specific file named 'compliance.md'.	3	1
ab-testing	eval-3	with_skill	FAIL	13.0s	24959	8	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	20.3s	25624	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	20.3s	25624	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	20.3s	25624	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	20.3s	25624	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	20.3s	25624	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	20.3s	25624	6	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	20.3s	25624	7	FAIL	Mentions 'every send must justify itself' principle	The model output does not contain the phrase 'every send must justify itself' or the specific principle wording requested. It discusses frequency and value, but not this exact principle statement.	4	1
ab-testing	eval-5	with_skill	FAIL	15.7s	25694	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	15.7s	25694	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	15.7s	25694	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	15.7s	25694	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	15.7s	25694	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	15.7s	25694	6	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	15.7s	25694	7	FAIL	Mentions A2P sample text alignment requirement	The model output does not contain any text referencing 'A2P', 'sample text', 'campaign alignment', or 'content matching' requirements.	5	1
ab-testing	eval-5	with_skill	FAIL	15.7s	25694	8	FAIL	References platforms.md or trust score monitoring	The model mentions 'Check your Trust Score' but does not reference 'platforms.md' anywhere in the text.	5	1
ab-testing	eval-6	with_skill	FAIL	8.6s	25092	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	8.6s	25092	2	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	8.6s	25092	3	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	8.6s	25092	4	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	8.6s	25092	5	FAIL	Mentions accented characters / curly quotes also trigger UCS-2	The model output focuses exclusively on emojis triggering UCS-2. There is no mention of accented characters or curly quotes anywhere in the provided text.	6	1
ab-testing	eval-6	with_skill	FAIL	8.6s	25092	6	FAIL	Recommends previewing segment count	The model recommends auditing messages and calculating if they are over 70 characters ('If any message with an emoji is over 70 characters, you are paying double'), but it does not explicitly recomme…	6	1
