Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	10.0s	20250	1	FAIL	Checks for product-marketing.md	Model states 'I should also check if there's a product marketing context file' but provides no evidence of checking product-marketing.md	1	7
ab-testing	eval-1	with_skill	FAIL	10.0s	20250	2	PASS			1	7
ab-testing	eval-1	with_skill	FAIL	10.0s	20250	3	FAIL	Follows audit priority order: crawlability first, then technical, on-page, content, authority	Technical issues listed first in 'What I Can Audit' section without crawlability prioritization as required	1	7
ab-testing	eval-1	with_skill	FAIL	10.0s	20250	4	FAIL	Checks robots.txt and XML sitemap	No mention of robots.txt or XML sitemap checks in output	1	7
ab-testing	eval-1	with_skill	FAIL	10.0s	20250	5	PASS			1	7
ab-testing	eval-1	with_skill	FAIL	10.0s	20250	6	PASS			1	7
ab-testing	eval-1	with_skill	FAIL	10.0s	20250	7	FAIL	Notes schema markup detection limitation	No mention of schema detection limitations in response	1	7
ab-testing	eval-1	with_skill	FAIL	10.0s	20250	8	FAIL	Output has Executive Summary	No section labeled 'Executive Summary' present in output structure	1	7
ab-testing	eval-1	with_skill	FAIL	10.0s	20250	9	FAIL	Output has Prioritized Action Plan	'Next Steps' section mentions plan but contains no actual prioritized actions or findings	1	7
ab-testing	eval-1	with_skill	FAIL	10.0s	20250	10	FAIL	Each finding has Issue, Impact, Evidence, Fix, and Priority	No findings provided with required components - response only asks questions	1	7
ab-testing	eval-2	with_skill	FAIL	8.2s	20093	1	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	8.2s	20093	2	FAIL	Checks title tag, H1, URL alignment with target keyword	Only mentioned as future work: 'On-Page | Title tag, H1, content depth, keyword placement' - not actually checked	2	7
ab-testing	eval-2	with_skill	FAIL	8.2s	20093	3	FAIL	Evaluates content depth vs competitors	Only mentioned as future work: 'Content Quality | Does it satisfy search intent better than page 1 competitors?' - not actually evaluated	2	7
ab-testing	eval-2	with_skill	FAIL	8.2s	20093	4	FAIL	Checks for keyword cannibalization	Only asked about in questions: 'Do you have other pages that might be competing for similar keywords?' - not actually checked	2	7
ab-testing	eval-2	with_skill	FAIL	8.2s	20093	5	FAIL	Checks indexation status and canonical tags	Only mentioned as future work: 'Indexation | Is the page actually indexed? Any canonical/noindex issues?' - not actually checked	2	7
ab-testing	eval-2	with_skill	FAIL	8.2s	20093	6	FAIL	Assesses E-E-A-T signals	E-E-A-T not mentioned anywhere in output	2	7
ab-testing	eval-2	with_skill	FAIL	8.2s	20093	7	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	8.2s	20093	8	FAIL	Provides actionable fixes organized by priority	Framework with priorities shown but no actual fixes provided yet	2	7
ab-testing	eval-3	with_skill	FAIL	16.3s	20755	1	FAIL	Treats as urgent migration diagnostic	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Role:** Strict JSON-only evaluator. * **Input:** * Grading p…	3	7
ab-testing	eval-3	with_skill	FAIL	16.3s	20755	2	FAIL	Checks redirect mapping (301s)	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Role:** Strict JSON-only evaluator. * **Input:** * Grading p…	3	7
ab-testing	eval-3	with_skill	FAIL	16.3s	20755	3	FAIL	Checks canonical tags on new pages	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Role:** Strict JSON-only evaluator. * **Input:** * Grading p…	3	7
ab-testing	eval-3	with_skill	FAIL	16.3s	20755	4	FAIL	Checks robots.txt not blocking crawlers	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Role:** Strict JSON-only evaluator. * **Input:** * Grading p…	3	7
ab-testing	eval-3	with_skill	FAIL	16.3s	20755	5	FAIL	Checks XML sitemap updated and submitted	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agentskills.io evaluation run. * **Role:** Strict JSON-only evaluator. * **Input:** * Grading p…	3	7
