Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	23.6s	32122	1	FAIL	Checks for product-marketing.md	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agent's output based on specific assertions. * Input: Assertions list, Model output (text), Output …	1	1
ab-testing	eval-1	with_skill	FAIL	23.6s	32122	2	FAIL	Applies lead lifecycle framework with all stages	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agent's output based on specific assertions. * Input: Assertions list, Model output (text), Output …	1	1
ab-testing	eval-1	with_skill	FAIL	23.6s	32122	3	FAIL	Defines criteria for each stage transition	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agent's output based on specific assertions. * Input: Assertions list, Model output (text), Output …	1	1
ab-testing	eval-1	with_skill	FAIL	23.6s	32122	4	FAIL	Addresses marketing-sales alignment	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agent's output based on specific assertions. * Input: Assertions list, Model output (text), Output …	1	1
ab-testing	eval-1	with_skill	FAIL	23.6s	32122	5	FAIL	Provides CRM implementation guidance for HubSpot	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agent's output based on specific assertions. * Input: Assertions list, Model output (text), Output …	1	1
ab-testing	eval-1	with_skill	FAIL	23.6s	32122	6	FAIL	Includes lead scoring setup	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agent's output based on specific assertions. * Input: Assertions list, Model output (text), Output …	1	1
ab-testing	eval-1	with_skill	FAIL	23.6s	32122	7	FAIL	Provides handoff process between teams	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * Task: Grade an agent's output based on specific assertions. * Input: Assertions list, Model output (text), Output …	1	1
ab-testing	eval-2	with_skill	FAIL	17.9s	31627	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	17.9s	31627	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	17.9s	31627	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	17.9s	31627	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	17.9s	31627	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	17.9s	31627	6	FAIL	Defines MQL and SQL score thresholds	Only MQL threshold defined: 'MQL Threshold: 75 Points'. No SQL score threshold specified in output	2	1
ab-testing	eval-2	with_skill	FAIL	17.9s	31627	7	FAIL	Recommends lead routing based on scores	Output mentions 'MQL alert: Instant notification to assigned rep' but no explicit routing logic tied to score levels or thresholds	2	1
ab-testing	eval-3	with_skill	FAIL	17.2s	31577	1	FAIL	Triggers on casual phrasing	No evidence in output that model detected or responded to casual phrasing in user input.	3	1
ab-testing	eval-3	with_skill	FAIL	17.2s	31577	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.2s	31577	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.2s	31577	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.2s	31577	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.2s	31577	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.2s	31577	7	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	25.3s	32157	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	25.3s	32157	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	25.3s	32157	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	25.3s	32157	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	25.3s	32157	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	25.3s	32157	6	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	25.3s	32157	7	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	22.1s	32049	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	22.1s	32049	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	22.1s	32049	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	22.1s	32049	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	22.1s	32049	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	22.1s	32049	6	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	22.1s	32049	7	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	8.7s	30947	1	FAIL	Recognizes this as cold email writing, not RevOps	judge returned unparseable response: The user wants me to grade an agentskills.io evaluation run. I need to evaluate the model's output against 3 assertions and return strict JSON. Let me analyze the…	6	1
ab-testing	eval-6	with_skill	FAIL	8.7s	30947	2	FAIL	References or defers to cold-email skill	judge returned unparseable response: The user wants me to grade an agentskills.io evaluation run. I need to evaluate the model's output against 3 assertions and return strict JSON. Let me analyze the…	6	1
ab-testing	eval-6	with_skill	FAIL	8.7s	30947	3	FAIL	Explains RevOps covers systems and processes, not email content	judge returned unparseable response: The user wants me to grade an agentskills.io evaluation run. I need to evaluate the model's output against 3 assertions and return strict JSON. Let me analyze the…	6	1
ab-testing	eval-1	with_skill	FAIL	24.9s	32256	1	FAIL	Checks for product-marketing.md	Model references lifecycle-definitions.md, routing-rules.md, scoring-models.md, automation-playbooks.md but never mentions product-marketing.md	1	2
ab-testing	eval-1	with_skill	FAIL	24.9s	32256	2	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	24.9s	32256	3	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	24.9s	32256	4	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	24.9s	32256	5	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	24.9s	32256	6	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	24.9s	32256	7	PASS			1	2
ab-testing	eval-2	with_skill	FAIL	18.7s	31764	1	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	18.7s	31764	2	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	18.7s	31764	3	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	18.7s	31764	4	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	18.7s	31764	5	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	18.7s	31764	6	FAIL	Defines MQL and SQL score thresholds	MQL threshold defined (75+ points) but no explicit SQL threshold specified	2	2
ab-testing	eval-2	with_skill	FAIL	18.7s	31764	7	PASS			2	2
ab-testing	eval-3	with_skill	FAIL	12.3s	31230	1	FAIL	Triggers on casual phrasing	No reference to casual phrasing detected in output. Model does not acknowledge user's communication style.	3	2
ab-testing	eval-3	with_skill	FAIL	12.3s	31230	2	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	12.3s	31230	3	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	12.3s	31230	4	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	12.3s	31230	5	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	12.3s	31230	6	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	12.3s	31230	7	PASS			3	2
ab-testing	eval-4	with_skill	FAIL	21.1s	31939	1	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	21.1s	31939	2	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	21.1s	31939	3	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	21.1s	31939	4	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	21.1s	31939	5	FAIL	Includes CAC, LTV, LTV:CAC	Only LTV:CAC Ratio is present as standalone metric; CAC and LTV are not standalone metrics with their own formulas	4	2
ab-testing	eval-4	with_skill	FAIL	21.1s	31939	6	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	21.1s	31939	7	PASS			4	2
ab-testing	eval-5	with_skill	FAIL	28.7s	32646	1	PASS			5	2
