Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	2.8s	12820	1	FAIL	Checks for product-marketing.md	Output files: No output files were captured. The model only asked for context and did not generate or check for any files.	1	1
ab-testing	eval-1	with_skill	FAIL	2.8s	12820	2	FAIL	Runs all three phases (scraping, SEO data, synthesis)	The model output is a request for clarification ('Please confirm or provide the following...') and states 'No output files were captured', indicating no phases were executed.	1	1
ab-testing	eval-1	with_skill	FAIL	2.8s	12820	3	FAIL	Saves raw data to competitor-profiles/raw/ with date subfolder	No output files were captured. No file operations were performed.	1	1
ab-testing	eval-1	with_skill	FAIL	2.8s	12820	4	FAIL	Produces individual profile per competitor	No output files were captured. No profiles were generated.	1	1
ab-testing	eval-1	with_skill	FAIL	2.8s	12820	5	FAIL	Produces _summary.md after individual profiles	No output files were captured. No summary was generated.	1	1
ab-testing	eval-1	with_skill	FAIL	2.8s	12820	6	FAIL	Uses consistent metrics across competitors	No competitors were analyzed, so no metrics were used.	1	1
ab-testing	eval-1	with_skill	FAIL	2.8s	12820	7	FAIL	Parallelizes scraping when possible	No scraping occurred; the model halted to request more information.	1	1
ab-testing	eval-2	with_skill	FAIL	2.7s	12780	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	2.7s	12780	2	FAIL	Suggests top 5 based on relevance	judge did not provide concrete evidence	2	1
ab-testing	eval-2	with_skill	FAIL	2.7s	12780	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	2.7s	12780	4	FAIL	Explains quick scan vs deep profile difference	judge did not provide concrete evidence	2	1
ab-testing	eval-2	with_skill	FAIL	2.7s	12780	5	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	5.1s	13035	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	5.1s	13035	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	5.1s	13035	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	5.1s	13035	4	FAIL	Says to save raw data to new date folder	No mention of saving raw data to a 'new date folder' in the output. It mentions 'Keep the existing profile' and 'run a Quick Scan update', but no specific file/folder naming convention is given.	3	1
ab-testing	eval-3	with_skill	FAIL	5.1s	13035	5	FAIL	Says never overwrite prior date's data	No mention of 'never overwrite prior date's data'. It says 'Keep the existing profile as your base structure' and update specific sections, but does not explicitly state the negative constraint about…	3	1
ab-testing	eval-4	with_skill	FAIL	3.5s	12855	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	3.5s	12855	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	3.5s	12855	3	PASS			4	1
