Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	9.5s	30611	1	FAIL	Checks for product-marketing.md	No reference to product-marketing.md file in output	1	8
ab-testing	eval-1	with_skill	FAIL	9.5s	30611	2	PASS			1	8
ab-testing	eval-1	with_skill	FAIL	9.5s	30611	3	FAIL	Classifies brand maturity tier	No brand maturity tier classification provided in output	1	8
ab-testing	eval-1	with_skill	FAIL	9.5s	30611	4	FAIL	Scores all 6 dimensions with weights	No dimension scores or weights provided, only a table of what will be checked	1	8
ab-testing	eval-1	with_skill	FAIL	9.5s	30611	5	FAIL	Provides scorecard with grade	No scorecard or grade (A-F) provided in output	1	8
ab-testing	eval-1	with_skill	FAIL	9.5s	30611	6	FAIL	Lists top 3 quick wins	No top 3 quick wins listed, only promises to provide them	1	8
ab-testing	eval-1	with_skill	FAIL	9.5s	30611	7	FAIL	Recommendations include character counts	No recommendations with character counts provided	1	8
ab-testing	eval-1	with_skill	FAIL	9.5s	30611	8	FAIL	Recommendations are specific (X to Y format)	No specific X to Y format recommendations provided	1	8
ab-testing	eval-2	with_skill	FAIL	13.3s	30926	1	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	13.3s	30926	2	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	13.3s	30926	3	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	13.3s	30926	4	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	13.3s	30926	5	PASS			2	8
ab-testing	eval-2	with_skill	FAIL	13.3s	30926	6	FAIL	Mentions feature graphic requirement	No mention of feature graphic in output	2	8
ab-testing	eval-2	with_skill	FAIL	13.3s	30926	7	FAIL	Recommends keyword strategy in description	No explicit keyword strategy recommendation for description; only mentions 'Title/Description - Exact character-counted recommendations'	2	8
ab-testing	eval-2	with_skill	FAIL	13.3s	30926	8	PASS			2	8
ab-testing	eval-3	with_skill	FAIL	12.3s	30819	1	FAIL	Classifies Instagram as Dominant tier	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model output against 5 assertions: 1. "Classifies Instagram as Dominant ti…	3	8
ab-testing	eval-3	with_skill	FAIL	12.3s	30819	2	FAIL	Explains brand-only titles are valid for Dominant	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model output against 5 assertions: 1. "Classifies Instagram as Dominant ti…	3	8
