Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	22.4s	20768	1	FAIL	Checks for product-marketing.md	No output files were captured. Model output contains only inline text.	1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	20768	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	20768	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	20768	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	20768	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	20768	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	20768	7	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	20768	8	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	22.4s	20768	9	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	19.5s	20476	1	FAIL	Creates 6-8 email lead nurture sequence	The output explicitly states 'Length: 5 Emails' and provides content for only 5 emails.	2	1
ab-testing	eval-2	with_skill	FAIL	19.5s	20476	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	19.5s	20476	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	19.5s	20476	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	19.5s	20476	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	19.5s	20476	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	19.5s	20476	7	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	10.9s	19562	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.9s	19562	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.9s	19562	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.9s	19562	4	FAIL	Recommends list hygiene or re-engagement	The model suggests 'list scrubbing' if spam complaints are high, but does not explicitly recommend re-engagement campaigns or specific list hygiene strategies like removing inactive subscribers based…	3	1
ab-testing	eval-3	with_skill	FAIL	10.9s	19562	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.9s	19562	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	10.9s	19562	7	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	19.6s	20477	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.6s	20477	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.6s	20477	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.6s	20477	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.6s	20477	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.6s	20477	6	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	19.6s	20477	7	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	9.0s	19313	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.0s	19313	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.0s	19313	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.0s	19313	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.0s	19313	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.0s	19313	6	FAIL	Recommends behavior triggers with time-based fallbacks	The model recommends behavioral triggers as superior ('Better Than Time-Based') and gives an example of sending only if an action hasn't occurred. However, it does not explicitly recommend using a ti…	5	1
ab-testing	eval-6	with_skill	FAIL	14.3s	19995	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	14.3s	19995	2	FAIL	References or defers to onboarding skill	The model states: 'I will apply the **email skill**'. It does not reference or defer to an 'onboarding skill'; it explicitly identifies the email skill as the primary tool being applied, while supple…	6	1
ab-testing	eval-6	with_skill	FAIL	14.3s	19995	3	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	14.3s	19995	4	PASS			6	1
