Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	20.2s	5047	1	FAIL	Checks for product-marketing.md	Output files section states: 'No output files were captured.' The model provided a text response, not a file named product-marketing.md.	1	4
ab-testing	eval-1	with_skill	FAIL	20.2s	5047	2	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	20.2s	5047	3	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	20.2s	5047	4	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	20.2s	5047	5	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	20.2s	5047	6	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	20.2s	5047	7	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	20.2s	5047	8	PASS			1	4
ab-testing	eval-2	with_skill	FAIL	12.5s	4214	1	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.5s	4214	2	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.5s	4214	3	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.5s	4214	4	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.5s	4214	5	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.5s	4214	6	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.5s	4214	7	PASS			2	4
ab-testing	eval-3	with_skill	FAIL	8.8s	3860	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	4
ab-testing	eval-3	with_skill	FAIL	8.8s	3860	2	PASS			3	4
ab-testing	eval-3	with_skill	FAIL	8.8s	3860	3	PASS			3	4
ab-testing	eval-3	with_skill	FAIL	8.8s	3860	4	PASS			3	4
ab-testing	eval-3	with_skill	FAIL	8.8s	3860	5	PASS			3	4
ab-testing	eval-3	with_skill	FAIL	8.8s	3860	6	FAIL	Includes email, blog, social, and in-app notification	The output includes 'Email' (Section 2B), 'Social' (Section 2C), and 'In-App' (Section 2A). However, it does not explicitly recommend a 'blog' post. It recommends a 'Changelog' (Canny, Headway), 'Com…	3	4
ab-testing	eval-3	with_skill	FAIL	8.8s	3860	7	PASS			3	4
ab-testing	eval-4	with_skill	FAIL	15.2s	4539	1	PASS			4	4
ab-testing	eval-4	with_skill	FAIL	15.2s	4539	2	PASS			4	4
ab-testing	eval-4	with_skill	FAIL	15.2s	4539	3	FAIL	Addresses pre-launch audience building gap	The model acknowledges the 'pre-launch preparation' might be at fault and mentions 'Borrowed Channels' (influencers/newsletters) in Step 2. However, under 'Step 3: Build a Sustainable Launch Engine',…	4	4
ab-testing	eval-4	with_skill	FAIL	15.2s	4539	4	PASS			4	4
ab-testing	eval-4	with_skill	FAIL	15.2s	4539	5	PASS			4	4
ab-testing	eval-4	with_skill	FAIL	15.2s	4539	6	PASS			4	4
ab-testing	eval-5	with_skill	FAIL	14.1s	4453	1	FAIL	Focuses on Borrowed channel from ORB Framework	The model never mentions 'ORB Framework'. It discusses 'borrowed trust' and 'borrowed audiences' generally, but fails to link this specifically to the ORB framework as requested.	5	4
ab-testing	eval-5	with_skill	FAIL	14.1s	4453	2	PASS			5	4
ab-testing	eval-5	with_skill	FAIL	14.1s	4453	3	PASS			5	4
ab-testing	eval-5	with_skill	FAIL	14.1s	4453	4	PASS			5	4
ab-testing	eval-5	with_skill	FAIL	14.1s	4453	5	FAIL	Notes borrowed strategies take time to build	The output states 'You *must* leverage borrowed trust' and 'You cannot pay for influence easily; you must earn it through hustle'. It does not explicitly state that these strategies 'take time to bui…	5	4
ab-testing	eval-5	with_skill	FAIL	14.1s	4453	6	FAIL	Suggests starting well before launch day	The output suggests 'Prepare Your Landing Page' and mapping audiences as 'Immediate Next Steps', but does not explicitly advise starting these specific borrowed audience activities 'well before launc…	5	4
ab-testing	eval-6	with_skill	FAIL	11.0s	4134	1	PASS			6	4
ab-testing	eval-6	with_skill	FAIL	11.0s	4134	2	FAIL	References or defers to marketing-ideas skill	Model provides a direct textual response with strategies. There is no mention of 'marketing-ideas skill', no tool call indicating such a skill, and no explicit reference or deferral to it.	6	4
ab-testing	eval-6	with_skill	FAIL	11.0s	4134	3	PASS			6	4
ab-testing	eval-6	with_skill	FAIL	11.0s	4134	4	PASS			6	4
