Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	11.0s	28741	1	FAIL	Checks for product-marketing.md	Output files: No output files were captured.	1	9
ab-testing	eval-1	with_skill	FAIL	11.0s	28741	2	PASS			1	9
ab-testing	eval-1	with_skill	FAIL	11.0s	28741	3	PASS			1	9
ab-testing	eval-1	with_skill	FAIL	11.0s	28741	4	FAIL	Respects Meta character limits (125/40/30)	Primary Text for Angle 2: 'AI content doesn’t have to sound like AI. 🤖❌ Train your AI assistant on your brand’s unique voice, tone, and keywords in seconds. Get the speed of AI with the nuance of yo…	1	9
ab-testing	eval-1	with_skill	FAIL	11.0s	28741	5	FAIL	Generates multiple variations per angle	Each of the 5 angles provides exactly one set of Primary Text, Headline, and Description. There are no alternative variations provided for any single angle.	1	9
ab-testing	eval-1	with_skill	FAIL	11.0s	28741	6	PASS			1	9
ab-testing	eval-1	with_skill	FAIL	11.0s	28741	7	PASS			1	9
ab-testing	eval-1	with_skill	FAIL	11.0s	28741	8	PASS			1	9
ab-testing	eval-2	with_skill	FAIL	3.8s	27986	1	FAIL	Respects Google RSA character limits (30 char headlines, 90 char descriptions)	Model did not generate any headlines or descriptions; output is entirely a request for more context.	2	9
ab-testing	eval-2	with_skill	FAIL	3.8s	27986	2	FAIL	Generates 10-15 headline variations	Model generated 0 headlines, stating: 'And I'll generate 15 headlines + 4 descriptions immediately' in a conditional future tense.	2	9
ab-testing	eval-2	with_skill	FAIL	3.8s	27986	3	FAIL	Generates 4+ description variations	Model generated 0 descriptions.	2	9
ab-testing	eval-2	with_skill	FAIL	3.8s	27986	4	FAIL	Includes target keyword in headlines	No headlines were generated.	2	9
ab-testing	eval-2	with_skill	FAIL	3.8s	27986	5	FAIL	Notes pinning should be used sparingly per skill guidance	The word 'pinning' appears only in the context of asking for a product name ('for brand headlines and pinning'), not as advice on usage frequency.	2	9
ab-testing	eval-2	with_skill	FAIL	3.8s	27986	6	FAIL	Suggests ad extensions	No mention of ad extensions or sitelinks/structured snippets in the output.	2	9
ab-testing	eval-2	with_skill	FAIL	3.8s	27986	7	FAIL	Uses angle-based variation approach	No angle-based variations were generated; the model failed to produce the required creative assets.	2	9
ab-testing	eval-3	with_skill	FAIL	12.9s	28970	1	PASS			3	9
ab-testing	eval-3	with_skill	FAIL	12.9s	28970	2	PASS			3	9
ab-testing	eval-3	with_skill	FAIL	12.9s	28970	3	PASS			3	9
ab-testing	eval-3	with_skill	FAIL	12.9s	28970	4	PASS			3	9
ab-testing	eval-3	with_skill	FAIL	12.9s	28970	5	PASS			3	9
ab-testing	eval-3	with_skill	FAIL	12.9s	28970	6	PASS			3	9
ab-testing	eval-4	with_skill	FAIL	4.9s	28086	1	FAIL	Triggers on casual phrasing	The model did not trigger on casual phrasing; it asked for detailed context (Product, Audience, Constraints) instead of assuming a casual tone.	4	9
ab-testing	eval-4	with_skill	FAIL	4.9s	28086	2	FAIL	Respects LinkedIn character limits (150/70/100)	No ad copy was generated. The model only listed LinkedIn ad formats (Single Image, Carousel, etc.) but provided no specific copy adhering to these limits.	4	9
ab-testing	eval-4	with_skill	FAIL	4.9s	28086	3	FAIL	Adapts tone for enterprise security audience	No copy was generated. The model asked 'What keeps CISOs/IT directors up at night?' but did not demonstrate an adapted tone in the output.	4	9
ab-testing	eval-4	with_skill	FAIL	4.9s	28086	4	FAIL	Uses risk-reduction and compliance language	No copy was generated. The model asked 'Compliance? (SOC 2, ISO 27001...)' but did not use such language in the final output.	4	9
ab-testing	eval-4	with_skill	FAIL	4.9s	28086	5	FAIL	Provides multiple angles relevant to security buyers	The model stated it 'will generate' angles later but provided none in this response.	4	9
ab-testing	eval-4	with_skill	FAIL	4.9s	28086	6	PASS			4	9
ab-testing	eval-5	with_skill	FAIL	6.3s	28221	1	FAIL	Activates batch generation workflow	The model did not generate any ad copy; it instead asked for context: 'I need to gather some key context first' and 'Once you provide the product details... I will generate'.	5	9
ab-testing	eval-5	with_skill	FAIL	6.3s	28221	2	FAIL	Generates for all three platforms	No ad copy was generated for Google, Meta, or TikTok. The output contains a strategy table but no actual ad variations.	5	9
ab-testing	eval-5	with_skill	FAIL	6.3s	28221	3	FAIL	Respects each platform's character limits	No ads were generated to evaluate character limit compliance.	5	9
ab-testing	eval-5	with_skill	FAIL	6.3s	28221	4	FAIL	Identifies angles that work across platforms	The model listed platform-specific strategies but did not output any content identifying cross-platform angles in the final deliverable, as generation was deferred.	5	9
ab-testing	eval-5	with_skill	FAIL	6.3s	28221	5	PASS			5	9
ab-testing	eval-5	with_skill	FAIL	6.3s	28221	6	FAIL	Organizes output by platform	The model did not provide the organized output; it provided a plan to organize output later.	5	9
ab-testing	eval-5	with_skill	FAIL	6.3s	28221	7	FAIL	Generates multiple variations per angle per platform	No variations were generated. The model stated 'Once you provide... I will generate'.	5	9
ab-testing	eval-6	with_skill	FAIL	4.7s	28076	1	PASS			6	9
ab-testing	eval-6	with_skill	FAIL	4.7s	28076	2	FAIL	References or defers to ads skill	Model references '.agents/product-marketing.md' but does not explicitly reference an 'ads skill' or defer to a specific ads agent/skill definition. It offers to deliver the strategy itself.	6	9
ab-testing	eval-6	with_skill	FAIL	4.7s	28076	3	PASS			6	9
