Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	10.5s	22144	1	FAIL	Checks for product-marketing.md	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	1	1
ab-testing	eval-1	with_skill	FAIL	10.5s	22144	2	FAIL	Applies three pillars framework (Structure, Authority, Presence)	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	1	1
ab-testing	eval-1	with_skill	FAIL	10.5s	22144	3	FAIL	Runs AI Visibility Audit across platforms	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	1	1
ab-testing	eval-1	with_skill	FAIL	10.5s	22144	4	FAIL	Checks content extractability	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	1	1
ab-testing	eval-1	with_skill	FAIL	10.5s	22144	5	FAIL	References Princeton GEO research findings	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	1	1
ab-testing	eval-1	with_skill	FAIL	10.5s	22144	6	FAIL	Checks AI bot access in robots.txt	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	1	1
ab-testing	eval-1	with_skill	FAIL	10.5s	22144	7	FAIL	Provides prioritized action plan	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	1	1
ab-testing	eval-2	with_skill	FAIL	16.8s	22638	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	16.8s	22638	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	16.8s	22638	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	16.8s	22638	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	16.8s	22638	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	16.8s	22638	6	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	17.7s	22699	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.7s	22699	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.7s	22699	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.7s	22699	4	PASS			3	1
