Skill	Eval	Mode	Overall Result	Time	Total Tokens	Input Tokens	Output Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration	Workspace_Iteration
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	2	PASS			1	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	3	PASS			1	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	4	PASS			1	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	5	PASS			1	2	iteration-511
co-marketing	eval-1	with_skill	FAIL	21.0s	3789	2462	1326	6	PASS			1	2	iteration-511
co-marketing	eval-2	with_skill	FAIL	14.4s	3433	2231	1201	1	PASS			2	2	iteration-511
co-marketing	eval-2	with_skill	FAIL	14.4s	3433	2231	1201	2	PASS			2	2	iteration-511
co-marketing	eval-2	with_skill	FAIL	14.4s	3433	2231	1201	3	PASS			2	2	iteration-511
co-marketing	eval-2	with_skill	FAIL	14.4s	3433	2231	1201	4	PASS			2	2	iteration-511
co-marketing	eval-2	with_skill	FAIL	14.4s	3433	2231	1201	5	FAIL	Uses brainstorming prompts	Asks clarifying questions, not prompts	2	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	1	FAIL	Includes subject with both company names	Subject uses placeholders, not names	3	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	2	PASS			3	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	3	PASS			3	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	4	PASS			3	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	5	PASS			3	2	iteration-511
co-marketing	eval-3	with_skill	FAIL	4.1s	2710	1761	948	6	FAIL	Mentions what to prepare for the call	No preparation mentioned	3	2	iteration-511
co-marketing	eval-4	with_skill	FAIL	14.5s	3431	2230	1200	1	PASS			4	2	iteration-511
co-marketing	eval-4	with_skill	FAIL	14.5s	3431	2230	1200	2	FAIL	Includes all 6 scoring dimensions	Only 4 dimensions listed in scorecard	4	2	iteration-511
co-marketing	eval-4	with_skill	FAIL	14.5s	3431	2230	1200	3	PASS			4	2	iteration-511
co-marketing	eval-4	with_skill	FAIL	14.5s	3431	2230	1200	4	PASS			4	2	iteration-511
co-marketing	eval-4	with_skill	FAIL	14.5s	3431	2230	1200	5	PASS			4	2	iteration-511
co-marketing	eval-5	with_skill	FAIL	20.9s	3854	2505	1348	1	PASS			5	2	iteration-511
co-marketing	eval-5	with_skill	FAIL	20.9s	3854	2505	1348	2	PASS			5	2	iteration-511
co-marketing	eval-5	with_skill	FAIL	20.9s	3854	2505	1348	3	PASS			5	2	iteration-511
co-marketing	eval-5	with_skill	FAIL	20.9s	3854	2505	1348	4	FAIL	Mentions measuring lead quality not just volume	No mention of lead quality metrics	5	2	iteration-511
co-marketing	eval-5	with_skill	FAIL	20.9s	3854	2505	1348	5	PASS			5	2	iteration-511
co-marketing	eval-6	with_skill	FAIL	11.6s	3244	2108	1135	1	PASS			6	2	iteration-511
co-marketing	eval-6	with_skill	FAIL	11.6s	3244	2108	1135	2	PASS			6	2	iteration-511
co-marketing	eval-6	with_skill	FAIL	11.6s	3244	2108	1135	3	PASS			6	2	iteration-511
co-marketing	eval-6	with_skill	FAIL	11.6s	3244	2108	1135	4	PASS			6	2	iteration-511
