Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	22.8s	6447	1	FAIL	Checks for product-marketing.md	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	6
ab-testing	eval-1	with_skill	FAIL	22.8s	6447	2	FAIL	Applies pricing psychology models (anchoring, charm pricing, Rule of 100)	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	6
ab-testing	eval-1	with_skill	FAIL	22.8s	6447	3	FAIL	Applies Good-Better-Best framing	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	6
ab-testing	eval-1	with_skill	FAIL	22.8s	6447	4	FAIL	Applies loss aversion to tier differentiation	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	6
ab-testing	eval-1	with_skill	FAIL	22.8s	6447	5	FAIL	Applies social proof near pricing	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	6
ab-testing	eval-1	with_skill	FAIL	22.8s	6447	6	FAIL	Provides specific recommendations for their price points	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	6
ab-testing	eval-1	with_skill	FAIL	22.8s	6447	7	FAIL	References specific mental models by name	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	1	6
ab-testing	eval-2	with_skill	FAIL	21.8s	6348	1	FAIL	Explains scarcity principle clearly	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	6
ab-testing	eval-2	with_skill	FAIL	21.8s	6348	2	FAIL	Provides legitimate SaaS applications	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	6
ab-testing	eval-2	with_skill	FAIL	21.8s	6348	3	FAIL	Distinguishes ethical from manipulative use	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	6
ab-testing	eval-2	with_skill	FAIL	21.8s	6348	4	FAIL	Provides specific examples	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	6
ab-testing	eval-2	with_skill	FAIL	21.8s	6348	5	FAIL	References related mental models	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	6
ab-testing	eval-2	with_skill	FAIL	21.8s	6348	6	FAIL	Addresses ethical considerations directly	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	6
ab-testing	eval-3	with_skill	FAIL	20.5s	6242	1	FAIL	Triggers on casual phrasing	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	6
ab-testing	eval-3	with_skill	FAIL	20.5s	6242	2	FAIL	Recommends copy-relevant mental models	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	6
ab-testing	eval-3	with_skill	FAIL	20.5s	6242	3	FAIL	Explains each principle briefly	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	6
ab-testing	eval-3	with_skill	FAIL	20.5s	6242	4	FAIL	Provides specific copywriting application per principle	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	6
ab-testing	eval-3	with_skill	FAIL	20.5s	6242	5	FAIL	Organizes by where each applies in copy	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	6
ab-testing	eval-3	with_skill	FAIL	20.5s	6242	6	FAIL	References multiple model categories	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	6
ab-testing	eval-4	with_skill	FAIL	17.9s	6043	1	PASS			4	6
ab-testing	eval-4	with_skill	FAIL	17.9s	6043	2	FAIL	Applies Hick's Law	Hick's Law is not mentioned anywhere in the output. Progressive Disclosure is mentioned but is not Hick's Law.	4	6
ab-testing	eval-4	with_skill	FAIL	17.9s	6043	3	PASS			4	6
ab-testing	eval-4	with_skill	FAIL	17.9s	6043	4	PASS			4	6
ab-testing	eval-4	with_skill	FAIL	17.9s	6043	5	PASS			4	6
ab-testing	eval-4	with_skill	FAIL	17.9s	6043	6	PASS			4	6
ab-testing	eval-5	with_skill	FAIL	21.3s	6324	1	PASS			5	6
ab-testing	eval-5	with_skill	FAIL	21.3s	6324	2	PASS			5	6
ab-testing	eval-5	with_skill	FAIL	21.3s	6324	3	PASS			5	6
ab-testing	eval-5	with_skill	FAIL	21.3s	6324	4	PASS			5	6
ab-testing	eval-5	with_skill	FAIL	21.3s	6324	5	PASS			5	6
ab-testing	eval-5	with_skill	FAIL	21.3s	6324	6	PASS			5	6
ab-testing	eval-6	with_skill	FAIL	15.6s	5826	1	PASS			6	6
ab-testing	eval-6	with_skill	FAIL	15.6s	5826	2	FAIL	References or defers to ab-testing skill	No specific reference to ab-testing skill found; only states 'falls directly within my skill domain'	6	6
ab-testing	eval-6	with_skill	FAIL	15.6s	5826	3	PASS			6	6
ab-testing	eval-6	with_skill	FAIL	15.6s	5826	4	FAIL	Does not attempt full test design using psychology patterns	Provides comprehensive test design including: Test Structure with Variation A/B, Critical Setup Requirements, Metrics to Track, Implementation Checklist, Analysis Framework	6	6
