Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	9.5s	9800	1	FAIL	Checks for product-marketing.md	Output files section states: 'No output files were captured.' The model output is plain text, not a file named product-marketing.md.	1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	9800	2	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	9800	3	FAIL	Maps content by buyer stage (awareness through implementation)	While the content types are labeled 'Searchable' or 'Shareable', there is no explicit mapping of content to the full buyer stage funnel (Awareness, Consideration, Decision/Implementation). For exampl…	1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	9800	4	FAIL	Includes keyword research by buyer stage	The model provides article titles (e.g., 'IRS mileage rates 2024: A complete guide') but does not provide keyword research data, search volume, or keyword targeting analysis. The 'Next Steps' section…	1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	9800	5	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	9800	6	FAIL	Uses prioritization scoring framework	The output lists content ideas and pillars but does not provide a prioritization scoring framework or method. The 'Next Steps' section mentions creating a 'prioritized list' later, implying it is not…	1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	9800	7	FAIL	Provides publishing cadence or calendar	The output contains no specific publishing schedule, calendar, or frequency (e.g., '2 posts per week'). The 'Next Steps' section mentions a 'launch plan', but none is provided in the current output.	1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	9800	8	PASS			1	3
ab-testing	eval-2	with_skill	FAIL	10.1s	9835	1	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	10.1s	9835	2	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	10.1s	9835	3	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	10.1s	9835	4	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	10.1s	9835	5	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	10.1s	9835	6	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	10.1s	9835	7	PASS			2	3
ab-testing	eval-3	with_skill	FAIL	15.9s	10425	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	3
ab-testing	eval-3	with_skill	FAIL	15.9s	10425	2	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	15.9s	10425	3	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	15.9s	10425	4	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	15.9s	10425	5	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	15.9s	10425	6	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	15.9s	10425	7	FAIL	Mentions developer community channels	judge did not provide concrete evidence	3	3
ab-testing	eval-4	with_skill	FAIL	11.6s	9981	1	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	11.6s	9981	2	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	11.6s	9981	3	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	11.6s	9981	4	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	11.6s	9981	5	PASS			4	3
ab-testing	eval-5	with_skill	FAIL	15.6s	10539	1	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	15.6s	10539	2	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	15.6s	10539	3	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	15.6s	10539	4	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	15.6s	10539	5	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	15.6s	10539	6	PASS			5	3
ab-testing	eval-6	with_skill	FAIL	4.7s	9256	1	PASS			6	3
ab-testing	eval-6	with_skill	FAIL	4.7s	9256	2	PASS			6	3
ab-testing	eval-6	with_skill	FAIL	4.7s	9256	3	PASS			6	3
ab-testing	eval-6	with_skill	FAIL	4.7s	9256	4	PASS			6	3
