Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	10.3s	5303	1	FAIL	Checks for product-marketing.md	No output files were captured.	1	1
ab-testing	eval-1	with_skill	FAIL	10.3s	5303	2	FAIL	Applies evaluation scorecard to compare options	The model offers to 'Suggest an Evaluation Scorecard to rate your final idea' as a next step, but does not apply one in the current output.	1	1
ab-testing	eval-1	with_skill	FAIL	10.3s	5303	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	10.3s	5303	4	FAIL	Recommends one option with clear rationale	The model provides conditional recommendations ('If your software is comprehensive... Lean toward the SEO Audit Tool' vs 'If your software is niche... Lean toward a Specialized Keyword/Intent Tool') …	1	1
ab-testing	eval-1	with_skill	FAIL	10.3s	5303	5	FAIL	Discusses lead capture gating strategy	The model lists 'Draft a Lead Capture Strategy (gating vs. ungating...)' as a 'Next Step' to be taken after the user answers questions; it does not discuss the strategy in the current output.	1	1
ab-testing	eval-1	with_skill	FAIL	10.3s	5303	6	FAIL	Addresses MVP scope	The model lists 'Outline an MVP Scope' as a 'Next Step' to be taken after the user answers questions; it does not address MVP scope in the current output.	1	1
ab-testing	eval-1	with_skill	FAIL	10.3s	5303	7	FAIL	Provides implementation recommendations	The model asks for context (product type, audience, resources, current lead gen) to provide specific recommendations, rather than providing them in this turn.	1	1
ab-testing	eval-2	with_skill	FAIL	14.4s	5591	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	5591	2	FAIL	Applies ideation framework to validate	The model does not apply a named or structured 'ideation framework' to validate the idea. It offers a 'Strategic Assessment' and 'Tool Design Framework', which are general strategic steps, not a spec…	2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	5591	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	5591	4	FAIL	Addresses build vs buy decision	The model does not discuss build vs. buy. It only asks a clarifying question at the end: 'What is your technical capacity? Can you build this in React/Vue, or are we looking at no-code (Outgrow, Type…	2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	5591	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	5591	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	5591	7	FAIL	References evaluation scorecard	There is no mention of an 'evaluation scorecard' in the output.	2	1
ab-testing	eval-3	with_skill	FAIL	11.7s	5419	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	1
ab-testing	eval-3	with_skill	FAIL	11.7s	5419	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.7s	5419	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.7s	5419	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.7s	5419	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.7s	5419	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.7s	5419	7	FAIL	Recommends top 2-3 to pursue	judge did not provide concrete evidence	3	1
ab-testing	eval-4	with_skill	FAIL	14.4s	5668	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.4s	5668	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.4s	5668	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.4s	5668	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.4s	5668	5	FAIL	Applies engineering as marketing principles	The model focuses on content marketing, SEO, and lead capture (gating). It does not describe building the tool itself as a marketing channel (e.g., 'build a free tool that solves a specific problem t…	4	1
ab-testing	eval-4	with_skill	FAIL	14.4s	5668	6	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	12.3s	5559	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.3s	5559	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.3s	5559	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.3s	5559	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.3s	5559	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.3s	5559	6	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	11.6s	5482	1	FAIL	Recognizes this as page CRO, not free tool strategy	judge did not provide concrete evidence	6	1
ab-testing	eval-6	with_skill	FAIL	11.6s	5482	2	FAIL	References or defers to cro skill	judge did not provide concrete evidence	6	1
ab-testing	eval-6	with_skill	FAIL	11.6s	5482	3	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	11.6s	5482	4	FAIL	Does not attempt full page CRO using free tool strategy patterns	judge did not provide concrete evidence	6	1
ab-testing	eval-1	with_skill	FAIL	14.0s	5735	1	FAIL	Checks for product-marketing.md	judge did not provide concrete evidence	1	2
ab-testing	eval-1	with_skill	FAIL	14.0s	5735	2	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	14.0s	5735	3	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	14.0s	5735	4	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	14.0s	5735	5	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	14.0s	5735	6	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	14.0s	5735	7	PASS			1	2
ab-testing	eval-2	with_skill	FAIL	11.4s	5452	1	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	11.4s	5452	2	FAIL	Applies ideation framework to validate	Output provides a generic strategic framework (MVP scope, inputs, outputs, lead capture) but does not apply a specific named ideation framework (e.g., SCAMPER, Design Thinking, Lean Canvas) to valida…	2	2
ab-testing	eval-2	with_skill	FAIL	11.4s	5452	3	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	11.4s	5452	4	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	11.4s	5452	5	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	11.4s	5452	6	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	11.4s	5452	7	FAIL	References evaluation scorecard	The output contains no reference to an 'evaluation scorecard'. It provides qualitative advice and a table comparing technical approaches, but no scorecard.	2	2
ab-testing	eval-3	with_skill	FAIL	15.1s	5822	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	2
ab-testing	eval-3	with_skill	FAIL	15.1s	5822	2	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	15.1s	5822	3	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	15.1s	5822	4	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	15.1s	5822	5	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	15.1s	5822	6	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	15.1s	5822	7	PASS			3	2
ab-testing	eval-4	with_skill	FAIL	17.8s	6084	1	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	17.8s	6084	2	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	17.8s	6084	3	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	17.8s	6084	4	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	17.8s	6084	5	FAIL	Applies engineering as marketing principles	The response focuses on niche targeting, SEO, content marketing, and outbound outreach. It does not discuss building the product itself as a marketing vehicle (e.g., data-driven tools, shareable widg…	4	2
ab-testing	eval-4	with_skill	FAIL	17.8s	6084	6	PASS			4	2
ab-testing	eval-5	with_skill	FAIL	10.2s	5302	1	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	10.2s	5302	2	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	10.2s	5302	3	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	10.2s	5302	4	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	10.2s	5302	5	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	10.2s	5302	6	PASS			5	2
ab-testing	eval-6	with_skill	FAIL	8.9s	5182	1	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	8.9s	5182	2	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	8.9s	5182	3	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	8.9s	5182	4	FAIL	Does not attempt full page CRO using free tool strategy patterns	The model DOES attempt page CRO using free tool strategy patterns. Section '1. Immediate CRO Fixes' includes free-tool-specific CRO patterns like 'soft gate' (show partial results before signup) and …	6	2
ab-testing	eval-1	with_skill	FAIL	9.5s	5062	1	FAIL	Checks for product-marketing.md	The output is a conversational response ('Preliminary Analysis...') and contains no references to a file named 'product-marketing.md'. No output files were captured.	1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	5062	2	FAIL	Applies evaluation scorecard to compare options	The model provides a qualitative comparison ('Pros/Cons') but does not use a structured 'evaluation scorecard' format (e.g., weighted criteria, scoring matrix) to compare options.	1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	5062	3	FAIL	References tool types from the skill	The output discusses 'Audit Tool' and 'Keyword Tool' as market concepts, but there is no evidence of referencing specific 'tool types from the skill' defined in the evaluation context. It relies on g…	1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	5062	4	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	5062	5	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	5062	6	FAIL	Addresses MVP scope	The model does not define an MVP scope in this output. It explicitly defers this action: 'Once you answer these, I can help you... Define the MVP scope.' It asks for requirements instead of addressin…	1	3
ab-testing	eval-1	with_skill	FAIL	9.5s	5062	7	FAIL	Provides implementation recommendations	The model provides strategic advice ('Build a specialized audit tool') but asks for more info ('What is your core product?', 'What is your technical capacity?') before providing specific implementati…	1	3
ab-testing	eval-2	with_skill	FAIL	12.0s	5481	1	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	12.0s	5481	2	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	12.0s	5481	3	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	12.0s	5481	4	FAIL	Addresses build vs buy decision	The model asks for technical capacity but does not analyze build vs buy tradeoffs. In Next Steps, it asks 'Do you want to build this in-code (React/Vue) or use a tool like Outgrow/Typeform?' without …	2	3
ab-testing	eval-2	with_skill	FAIL	12.0s	5481	5	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	12.0s	5481	6	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	12.0s	5481	7	PASS			2	3
ab-testing	eval-3	with_skill	FAIL	11.4s	5425	1	FAIL	Triggers on casual phrasing	The model output begins with 'To give you the most relevant ideas, I need to understand your specific business context better.' It does not explicitly identify or reference a 'casual phrasing' trigge…	3	3
ab-testing	eval-3	with_skill	FAIL	11.4s	5425	2	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	11.4s	5425	3	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	11.4s	5425	4	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	11.4s	5425	5	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	11.4s	5425	6	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	11.4s	5425	7	FAIL	Recommends top 2-3 to pursue	The model does not recommend specific top 2-3 ideas. Instead, it asks the user questions ('What is your core product?', 'What is your primary goal?') and ends with 'Which of the 5 ideas above resonat…	3	3
ab-testing	eval-4	with_skill	FAIL	14.3s	5718	1	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	14.3s	5718	2	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	14.3s	5718	3	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	14.3s	5718	4	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	14.3s	5718	5	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	14.3s	5718	6	PASS			4	3
ab-testing	eval-5	with_skill	FAIL	10.8s	5374	1	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	10.8s	5374	2	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	10.8s	5374	3	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	10.8s	5374	4	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	10.8s	5374	5	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	10.8s	5374	6	PASS			5	3
