Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	20.2s	16158	1	FAIL	Checks for product-marketing.md	I don't have access to these files, so I'll need to ask clarifying questions	1	1
ab-testing	eval-1	with_skill	FAIL	20.2s	16158	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.2s	16158	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.2s	16158	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.2s	16158	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.2s	16158	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.2s	16158	7	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.2s	16158	8	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.2s	16158	9	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.2s	16158	10	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	18.8s	16040	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	18.8s	16040	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	18.8s	16040	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	18.8s	16040	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	18.8s	16040	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	18.8s	16040	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	18.8s	16040	7	FAIL	Output has High-Impact Changes section	No section titled 'High-Impact Changes' found in output. Has 'Immediate Recommendations' and 'Experiments to A/B Test' but not the required section title.	2	1
ab-testing	eval-2	with_skill	FAIL	18.8s	16040	8	FAIL	Output has Test Ideas section	No section titled 'Test Ideas' found in output. Has 'Experiments to A/B Test' section but not the exact required section title.	2	1
ab-testing	eval-3	with_skill	FAIL	6.1s	14966	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	6.1s	14966	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	6.1s	14966	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	6.1s	14966	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	6.1s	14966	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	6.1s	14966	6	FAIL	Addresses serving multiple audiences	No mention of multiple audiences or audience segmentation in output	3	1
