Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	9.9s	23536	1	FAIL	Checks for product-marketing.md	Model states: 'I don't have access to check for that' - no actual check performed	1	1
ab-testing	eval-1	with_skill	FAIL	9.9s	23536	2	FAIL	Applies 3-click rule and flat vs deep principles	No mention of 3-click rule or flat vs deep principles in output	1	1
ab-testing	eval-1	with_skill	FAIL	9.9s	23536	3	FAIL	Creates ASCII tree for site structure	No ASCII tree created; model says 'I can provide you with... ASCII tree format' but output contains none	1	1
ab-testing	eval-1	with_skill	FAIL	9.9s	23536	4	FAIL	Organizes pages logically	No page organization provided; only questions asked	1	1
ab-testing	eval-1	with_skill	FAIL	9.9s	23536	5	FAIL	Recommends URL structure for each section	No URL structure recommended; model says 'I can provide you with... URL structure recommendations' but output contains none	1	1
ab-testing	eval-1	with_skill	FAIL	9.9s	23536	6	FAIL	Provides navigation design (4-7 header items)	No navigation design provided; model only promises 'Navigation spec (header, footer, breadcrumbs)' without delivering	1	1
ab-testing	eval-1	with_skill	FAIL	9.9s	23536	7	FAIL	Includes internal linking strategy	No internal linking strategy included; only promised as future deliverable	1	1
ab-testing	eval-1	with_skill	FAIL	9.9s	23536	8	FAIL	Provides hierarchy, URL map, and nav spec	Model output is a question-gathering response, not a deliverable with hierarchy, URL map, or nav spec	1	1
ab-testing	eval-2	with_skill	FAIL	10.8s	23604	1	FAIL	Recommends content inventory first	Model asks 'How many pages do you have?' but does not recommend getting content inventory as first step; instead asks questions before providing plan.	2	1
ab-testing	eval-2	with_skill	FAIL	10.8s	23604	2	FAIL	Groups related pages logically	No page grouping provided; model only asks 'What are the 5-10 most important pages?' without delivering grouping.	2	1
ab-testing	eval-2	with_skill	FAIL	10.8s	23604	3	FAIL	Applies 3-click rule	No mention of 3-click rule in output.	2	1
ab-testing	eval-2	with_skill	FAIL	10.8s	23604	4	FAIL	Redesigns navigation structure	Model states 'I'll provide' navigation recommendations after gathering info but has not redesigned anything yet.	2	1
ab-testing	eval-2	with_skill	FAIL	10.8s	23604	5	FAIL	Provides ASCII tree or visual sitemap	Output promises 'ASCII tree hierarchy' and 'Mermaid diagram' but does not include either.	2	1
ab-testing	eval-2	with_skill	FAIL	10.8s	23604	6	FAIL	Addresses URL redirects for moved pages	Model asks 'Do you have existing URLs that must be preserved?' but provides no redirect recommendations.	2	1
ab-testing	eval-2	with_skill	FAIL	10.8s	23604	7	FAIL	Reduces header navigation items	No mention of reducing header navigation items; model asks for current structure instead.	2	1
ab-testing	eval-3	with_skill	FAIL	14.1s	23876	1	FAIL	Triggers on casual phrasing	No evidence of casual phrasing detection in output. User input was straightforward technical question, no mention of triggering behavior.	3	1
ab-testing	eval-3	with_skill	FAIL	14.1s	23876	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	14.1s	23876	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	14.1s	23876	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	14.1s	23876	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	14.1s	23876	6	FAIL	Provides URL map reference	Output promises 'A complete URL map table for your site' in Next Steps section but only provides generic patterns, not actual URL map for user's site	3	1
ab-testing	eval-4	with_skill	FAIL	18.0s	24193	1	FAIL	Recommends hub pages for each section	judge returned unparseable response: The user wants me to grade an agent's response against a set of assertions. I need to evaluate each assertion based on the model output provided and determine if …	4	1
ab-testing	eval-4	with_skill	FAIL	18.0s	24193	2	FAIL	Applies hub-and-spoke internal linking	judge returned unparseable response: The user wants me to grade an agent's response against a set of assertions. I need to evaluate each assertion based on the model output provided and determine if …	4	1
ab-testing	eval-4	with_skill	FAIL	18.0s	24193	3	FAIL	Keeps programmatic pages out of main nav	judge returned unparseable response: The user wants me to grade an agent's response against a set of assertions. I need to evaluate each assertion based on the model output provided and determine if …	4	1
ab-testing	eval-4	with_skill	FAIL	18.0s	24193	4	FAIL	Provides URL structure for both sections	judge returned unparseable response: The user wants me to grade an agent's response against a set of assertions. I need to evaluate each assertion based on the model output provided and determine if …	4	1
ab-testing	eval-4	with_skill	FAIL	18.0s	24193	5	FAIL	Addresses crawl budget for 250 pages	judge returned unparseable response: The user wants me to grade an agent's response against a set of assertions. I need to evaluate each assertion based on the model output provided and determine if …	4	1
ab-testing	eval-4	with_skill	FAIL	18.0s	24193	6	FAIL	Cross-references programmatic-seo skill	judge returned unparseable response: The user wants me to grade an agent's response against a set of assertions. I need to evaluate each assertion based on the model output provided and determine if …	4	1
ab-testing	eval-5	with_skill	FAIL	3.5s	23076	1	FAIL	Provides visual sitemap in Mermaid format	No Mermaid code block or sitemap provided; model only asked clarifying questions	5	1
