Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	19.2s	10887	1	FAIL	Checks for product-marketing.md	judge returned unparseable response: The user wants me to evaluate an agentskills.io evaluation run. I need to grade the model's output against the provided assertions. Let me analyze each assertion …	1	1
ab-testing	eval-1	with_skill	FAIL	19.2s	10887	2	FAIL	Implements Organization schema in JSON-LD	judge returned unparseable response: The user wants me to evaluate an agentskills.io evaluation run. I need to grade the model's output against the provided assertions. Let me analyze each assertion …	1	1
ab-testing	eval-1	with_skill	FAIL	19.2s	10887	3	FAIL	Includes required and recommended properties	judge returned unparseable response: The user wants me to evaluate an agentskills.io evaluation run. I need to grade the model's output against the provided assertions. Let me analyze each assertion …	1	1
ab-testing	eval-1	with_skill	FAIL	19.2s	10887	4	FAIL	Recommends additional relevant schema types	judge returned unparseable response: The user wants me to evaluate an agentskills.io evaluation run. I need to grade the model's output against the provided assertions. Let me analyze each assertion …	1	1
ab-testing	eval-1	with_skill	FAIL	19.2s	10887	5	FAIL	Uses @graph for multiple types	judge returned unparseable response: The user wants me to evaluate an agentskills.io evaluation run. I need to grade the model's output against the provided assertions. Let me analyze each assertion …	1	1
ab-testing	eval-1	with_skill	FAIL	19.2s	10887	6	FAIL	Provides complete JSON-LD code	judge returned unparseable response: The user wants me to evaluate an agentskills.io evaluation run. I need to grade the model's output against the provided assertions. Let me analyze each assertion …	1	1
ab-testing	eval-1	with_skill	FAIL	19.2s	10887	7	FAIL	Recommends validation tools	judge returned unparseable response: The user wants me to evaluate an agentskills.io evaluation run. I need to grade the model's output against the provided assertions. Let me analyze each assertion …	1	1
ab-testing	eval-2	with_skill	FAIL	14.4s	10490	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	10490	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	10490	3	FAIL	Provides complete code example	"Only 2 of 20 questions shown with ""// ... repeat for all 20 questions"" comment"	2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	10490	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	10490	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.4s	10490	6	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	9.0s	10022	1	FAIL	Triggers on casual phrasing	Model response uses formal language: 'Great! Adding schema to your marketing blog posts will help them appear as rich results in search.'	3	1
ab-testing	eval-3	with_skill	FAIL	9.0s	10022	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	9.0s	10022	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	9.0s	10022	4	FAIL	Recommends BreadcrumbList alongside	No mention of BreadcrumbList in response or schema example.	3	1
ab-testing	eval-3	with_skill	FAIL	9.0s	10022	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	9.0s	10022	6	FAIL	Addresses CMS integration for dynamic fields	Asks about tech stack but provides no CMS integration steps for dynamic fields.	3	1
ab-testing	eval-4	with_skill	FAIL	24.6s	11321	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	24.6s	11321	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	24.6s	11321	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	24.6s	11321	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	24.6s	11321	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	24.6s	11321	6	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	9.1s	10083	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.1s	10083	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.1s	10083	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	9.1s	10083	4	PASS			5	1
