Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	28.9s	20831	1	FAIL	Checks for product-marketing.md	No reference to product-marketing.md found in output. Model mentions 'reference materials' generically but does not check for or cite product-marketing.md file.	1	10
ab-testing	eval-1	with_skill	FAIL	28.9s	20831	2	PASS			1	10
ab-testing	eval-1	with_skill	FAIL	28.9s	20831	3	PASS			1	10
ab-testing	eval-1	with_skill	FAIL	28.9s	20831	4	PASS			1	10
ab-testing	eval-1	with_skill	FAIL	28.9s	20831	5	PASS			1	10
ab-testing	eval-1	with_skill	FAIL	28.9s	20831	6	PASS			1	10
ab-testing	eval-1	with_skill	FAIL	28.9s	20831	7	PASS			1	10
ab-testing	eval-1	with_skill	FAIL	28.9s	20831	8	PASS			1	10
ab-testing	eval-1	with_skill	FAIL	28.9s	20831	9	PASS			1	10
ab-testing	eval-2	with_skill	FAIL	25.1s	20520	1	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	25.1s	20520	2	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	25.1s	20520	3	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	25.1s	20520	4	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	25.1s	20520	5	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	25.1s	20520	6	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	25.1s	20520	7	PASS			2	10
ab-testing	eval-3	with_skill	FAIL	15.9s	19750	1	FAIL	Triggers on casual phrasing	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	10
ab-testing	eval-3	with_skill	FAIL	15.9s	19750	2	FAIL	Diagnoses potential causes beyond just subject lines	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	10
ab-testing	eval-3	with_skill	FAIL	15.9s	19750	3	FAIL	Addresses sender reputation and deliverability	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	10
ab-testing	eval-3	with_skill	FAIL	15.9s	19750	4	FAIL	Recommends list hygiene or re-engagement	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	10
ab-testing	eval-3	with_skill	FAIL	15.9s	19750	5	FAIL	Applies subject line strategy with specific patterns	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	10
