Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	15.8s	25669	1	FAIL	Checks for product-marketing.md	No output files were captured. The output is a text response, not a markdown file named product-marketing.md.	1	4
ab-testing	eval-1	with_skill	FAIL	15.8s	25669	2	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	15.8s	25669	3	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	15.8s	25669	4	FAIL	Prioritizes abandoned cart as highest-ROI flow	Section 2 labels 'Priority 1: Post-Purchase' as the first step, stating 'This is high-value, low-risk.' Abandoned Cart is listed as 'Priority 2,' although the description claims 'Highest ROI Marketin…	1	4
ab-testing	eval-1	with_skill	FAIL	15.8s	25669	5	FAIL	Mentions replenishment for skincare specifically	The model mentions '[Product]' generally in flows (e.g., 'How’s your [Product]?'), but does not explicitly use the word 'replenishment' or specifically discuss replenishment cycles for skincare produ…	1	4
ab-testing	eval-1	with_skill	FAIL	15.8s	25669	6	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	15.8s	25669	7	PASS			1	4
ab-testing	eval-1	with_skill	FAIL	15.8s	25669	8	FAIL	Mentions per-send cost economics	The model mentions 'per-send cost economics' is not explicitly referenced. It mentions 'revenue per send' and 'margins', but does not discuss the *cost* of sending messages (e.g., platform fees, carr…	1	4
ab-testing	eval-2	with_skill	FAIL	12.2s	25448	1	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.2s	25448	2	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.2s	25448	3	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.2s	25448	4	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.2s	25448	5	FAIL	Character counts shown, target ~160 GSM-7	Character counts are shown (~150, ~145, ~120, ~130 chars) but the assertion requires GSM-7 targeting. The output cites 'chars (1 segment)' but does not explicitly mention GSM-7 encoding or target 160…	2	4
ab-testing	eval-2	with_skill	FAIL	12.2s	25448	6	FAIL	Compliance footer on first send (STOP to opt out)	The code block for Send 1 does not include the footer. The 'Critical Implementation Details' section states 'You must include this at the end of the first promotional message', but the actual message…	2	4
ab-testing	eval-2	with_skill	FAIL	12.2s	25448	7	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.2s	25448	8	PASS			2	4
ab-testing	eval-2	with_skill	FAIL	12.2s	25448	9	FAIL	Mentions UTM tagging or attribution	The output mentions 'Short Link' and 'branded short link' but contains no mention of UTM parameters, tagging, or attribution mechanisms.	2	4
ab-testing	eval-3	with_skill	FAIL	8.4s	25034	1	PASS			3	4
