Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	8.3s	22019	1	FAIL	Checks for product-marketing.md	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	10
ab-testing	eval-1	with_skill	FAIL	8.3s	22019	2	FAIL	Applies three pillars framework (Structure, Authority, Presence)	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	10
ab-testing	eval-1	with_skill	FAIL	8.3s	22019	3	FAIL	Runs AI Visibility Audit across platforms	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	10
ab-testing	eval-1	with_skill	FAIL	8.3s	22019	4	FAIL	Checks content extractability	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	10
ab-testing	eval-1	with_skill	FAIL	8.3s	22019	5	FAIL	References Princeton GEO research findings	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	10
ab-testing	eval-1	with_skill	FAIL	8.3s	22019	6	FAIL	Checks AI bot access in robots.txt	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	10
ab-testing	eval-1	with_skill	FAIL	8.3s	22019	7	FAIL	Provides prioritized action plan	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	10
ab-testing	eval-2	with_skill	FAIL	16.2s	22651	1	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	16.2s	22651	2	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	16.2s	22651	3	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	16.2s	22651	4	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	16.2s	22651	5	PASS			2	10
ab-testing	eval-2	with_skill	FAIL	16.2s	22651	6	PASS			2	10
ab-testing	eval-3	with_skill	FAIL	15.9s	22634	1	PASS			3	10
ab-testing	eval-3	with_skill	FAIL	15.9s	22634	2	PASS			3	10
ab-testing	eval-3	with_skill	FAIL	15.9s	22634	3	PASS			3	10
ab-testing	eval-3	with_skill	FAIL	15.9s	22634	4	PASS			3	10
ab-testing	eval-3	with_skill	FAIL	15.9s	22634	5	PASS			3	10
ab-testing	eval-3	with_skill	FAIL	15.9s	22634	6	PASS			3	10
ab-testing	eval-4	with_skill	FAIL	12.3s	22337	1	FAIL	Triggers on casual phrasing	No evidence of casual phrasing trigger mechanism in output. User input is direct question about AI Overviews.	4	10
ab-testing	eval-4	with_skill	FAIL	12.3s	22337	2	PASS			4	10
ab-testing	eval-4	with_skill	FAIL	12.3s	22337	3	PASS			4	10
ab-testing	eval-4	with_skill	FAIL	12.3s	22337	4	FAIL	Checks Structure pillar (extractability, headings, answer-first)	No explicit 'Structure pillar' framework. Only mentions 'Structured answers' and 'Clear definition in first paragraph' in checklist without extractability/headings focus	4	10
ab-testing	eval-4	with_skill	FAIL	12.3s	22337	5	PASS			4	10
ab-testing	eval-4	with_skill	FAIL	12.3s	22337	6	PASS			4	10
ab-testing	eval-4	with_skill	FAIL	12.3s	22337	7	FAIL	Suggests monitoring approach	No monitoring approach suggested. Offers audits and optimization plans but no ongoing tracking/monitoring methodology	4	10
ab-testing	eval-5	with_skill	FAIL	8.3s	22030	1	FAIL	Runs full AI Visibility Audit	Model output states 'Before I can provide a meaningful audit, I need to gather context' and asks questions instead of running an audit	5	10
ab-testing	eval-5	with_skill	FAIL	8.3s	22030	2	FAIL	Checks multiple AI platforms	No actual platform checks performed; model only mentions 'ChatGPT, Perplexity, or Google AI Overviews' as questions to ask user	5	10
ab-testing	eval-5	with_skill	FAIL	8.3s	22030	3	FAIL	Evaluates all three pillars (Structure, Authority, Presence)	No evaluation conducted; output lists what 'I'll Check' in a future tense table but provides no actual pillar evaluation	5	10
ab-testing	eval-5	with_skill	FAIL	8.3s	22030	4	FAIL	Checks content extractability	Content extractability mentioned as 'What I'll Check' in table but no actual check performed on any website	5	10
ab-testing	eval-5	with_skill	FAIL	8.3s	22030	5	FAIL	Checks AI bot access	AI bot access listed as 'What I'll Check' but no robots.txt or bot access check was actually performed	5	10
ab-testing	eval-5	with_skill	FAIL	8.3s	22030	6	FAIL	Provides findings organized by pillar	No findings provided; output contains only questions to user and a template of what will be audited	5	10
ab-testing	eval-5	with_skill	FAIL	8.3s	22030	7	FAIL	Provides prioritized action plan	No action plan provided; model states 'I'll provide a detailed AI search readiness audit with specific recommendations' but this is future tense, not delivered	5	10
ab-testing	eval-6	with_skill	FAIL	11.6s	22325	1	PASS			6	10
ab-testing	eval-6	with_skill	FAIL	11.6s	22325	2	PASS			6	10
ab-testing	eval-6	with_skill	FAIL	11.6s	22325	3	PASS			6	10
ab-testing	eval-6	with_skill	FAIL	11.6s	22325	4	PASS			6	10
