Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	8.2s	11193	1	FAIL	Checks for product-marketing.md	judge did not provide concrete evidence	1	1
ab-testing	eval-1	with_skill	FAIL	8.2s	11193	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	8.2s	11193	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	8.2s	11193	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	8.2s	11193	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	8.2s	11193	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	8.2s	11193	7	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	5.1s	10868	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	5.1s	10868	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	5.1s	10868	3	FAIL	Recommends real screenshots at 2x resolution	Mentions setting a standard viewport (e.g., 1440x900) and using Capture full size screenshot, but never mentions 2x resolution.	2	1
ab-testing	eval-2	with_skill	FAIL	5.1s	10868	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	5.1s	10868	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	5.1s	10868	6	FAIL	Notes this as a common mistake	The text states 'AI models should not be used...' but does not explicitly characterize this behavior as a 'common mistake'.	2	1
ab-testing	eval-3	with_skill	FAIL	5.9s	10956	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	5.9s	10956	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	5.9s	10956	3	FAIL	Recommends minimal text	Model suggests 'Option A with Ideogram (if you need short, perfect text)' but does not explicitly recommend 'minimal text' as a general design principle in the provided output.	3	1
ab-testing	eval-3	with_skill	FAIL	5.9s	10956	4	FAIL	Suggests Canva or Figma over AI	Model recommends 'Option C (Hybrid)' or 'Option A with Ideogram', not Canva/Figma over AI as a primary preference.	3	1
ab-testing	eval-3	with_skill	FAIL	5.9s	10956	5	FAIL	Mentions Ideogram for text-heavy designs	Model mentions Ideogram for 'perfect text' or 'short, perfect text', not specifically 'text-heavy designs'.	3	1
ab-testing	eval-3	with_skill	FAIL	5.9s	10956	6	FAIL	Recommends testing at display size	No mention of testing at display size in the output.	3	1
ab-testing	eval-4	with_skill	FAIL	8.0s	11193	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	8.0s	11193	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	8.0s	11193	3	FAIL	Notes Instagram 4:5 variant	The output lists Instagram Story (9:16) and Instagram Feed (1:1). It lists Facebook Post as 4:5, but does not explicitly identify an 'Instagram 4:5' variant. Instagram Feed is listed as 1:1.	4	1
ab-testing	eval-4	with_skill	FAIL	8.0s	11193	4	FAIL	Suggests programmatic text overlays for variants	The output explicitly advises: 'Do NOT bake text into the AI generation' and 'Add text in post-processing'. It does not mention programmatic overlays.	4	1
ab-testing	eval-4	with_skill	FAIL	8.0s	11193	5	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	7.9s	11225	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	7.9s	11225	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	7.9s	11225	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	7.9s	11225	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	7.9s	11225	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	7.9s	11225	6	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	12.1s	11736	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	12.1s	11736	2	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	12.1s	11736	3	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	12.1s	11736	4	FAIL	Lists required og:image meta tags	"The output only provides `<meta property=""og:image"" ... />` inside an HTML code block for usage, but it does not list the full set of required OG meta tags (og:title, og:description, og:type, etc.) n…"	6	1
ab-testing	eval-6	with_skill	FAIL	12.1s	11736	5	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	12.1s	11736	6	FAIL	Notes this is best for high-volume blogs	The output explicitly states 'Since you're shipping 2 posts a week... You need a system, not just a prompt' and recommends this for a SaaS that 'just launched'. It does not claim this approach is bes…	6	1
ab-testing	eval-1	with_skill	FAIL	10.3s	11420	1	FAIL	Checks for product-marketing.md	No output files were captured; model response contains no reference to product-marketing.md	1	2
ab-testing	eval-1	with_skill	FAIL	10.3s	11420	2	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	10.3s	11420	3	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	10.3s	11420	4	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	10.3s	11420	5	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	10.3s	11420	6	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	10.3s	11420	7	PASS			1	2
ab-testing	eval-2	with_skill	FAIL	4.8s	10852	1	FAIL	Refuses to use AI generation for product UI	Model offers: 'photorealistic (AI-generated scene with a laptop showing a dashboard)' and 'I create a stylized/illustrative representation', indicating willingness to generate rather than refuse.	2	2
ab-testing	eval-2	with_skill	FAIL	4.8s	10852	2	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	4.8s	10852	3	FAIL	Recommends real screenshots at 2x resolution	Model recommends: 'You provide a real screenshot of your dashboard', but makes no mention of '2x resolution'.	2	2
ab-testing	eval-2	with_skill	FAIL	4.8s	10852	4	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	4.8s	10852	5	FAIL	Suggests specific screenshot tools	Model does not name any specific tools (e.g., CleanShot, Snagit, native OS tools). It only suggests the approach of providing a real screenshot.	2	2
ab-testing	eval-2	with_skill	FAIL	4.8s	10852	6	FAIL	Notes this as a common mistake	Model describes the behavior ('hallucinate interfaces') but does not explicitly state it is a 'common mistake'.	2	2
ab-testing	eval-3	with_skill	FAIL	3.1s	10695	1	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	3.1s	10695	2	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	3.1s	10695	3	FAIL	Recommends minimal text	Model suggests 'If you need the tagline baked directly into the image... If you prefer to add the text later in Canva/Figma'. It does not explicitly recommend minimal text as a design principle, but …	3	2
ab-testing	eval-3	with_skill	FAIL	3.1s	10695	4	FAIL	Suggests Canva or Figma over AI	Model states: 'If you prefer to add the text later in Canva/Figma, most models will work.' It presents both options (baking text in via Ideogram or adding later in Canva/Figma) without explicitly pre…	3	2
ab-testing	eval-3	with_skill	FAIL	3.1s	10695	5	FAIL	Mentions Ideogram for text-heavy designs	Model mentions: 'Ideogram 3.0 is the best model for accurate text rendering.' It does not explicitly use the phrase 'text-heavy designs'. While related, the specific assertion text is not met by the …	3	2
ab-testing	eval-3	with_skill	FAIL	3.1s	10695	6	FAIL	Recommends testing at display size	No mention of testing at display size in the output.	3	2
ab-testing	eval-4	with_skill	FAIL	7.9s	11203	1	FAIL	Recommends Canva Magic Resize	judge did not provide concrete evidence	4	2
ab-testing	eval-4	with_skill	FAIL	7.9s	11203	2	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	7.9s	11203	3	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	7.9s	11203	4	FAIL	Suggests programmatic text overlays for variants	judge did not provide concrete evidence	4	2
ab-testing	eval-4	with_skill	FAIL	7.9s	11203	5	PASS			4	2
ab-testing	eval-5	with_skill	FAIL	6.6s	11063	1	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	6.6s	11063	2	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	6.6s	11063	3	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	6.6s	11063	4	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	6.6s	11063	5	FAIL	Mentions explicit dimensions to prevent CLS	The text lists 'Resize to display size' but does not explicitly mention 'dimensions' or 'CLS' (Cumulative Layout Shift) in the checklist or advice. The code snippet includes width/height, but the ass…	5	2
ab-testing	eval-5	with_skill	FAIL	6.6s	11063	6	FAIL	Provides command line tool example	The output provides HTML implementation examples and strategy advice, but contains no command line tool examples (e.g., Sharp, ImageMagick, svgo).	5	2
ab-testing	eval-6	with_skill	FAIL	15.8s	12217	1	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	15.8s	12217	2	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	15.8s	12217	3	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	15.8s	12217	4	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	15.8s	12217	5	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	15.8s	12217	6	FAIL	Notes this is best for high-volume blogs	The text states 'Doing OG images manually... is not scalable' and 'Since you are launching a SaaS', but does not explicitly mention 'high-volume blogs' as the target audience or condition.	6	2
ab-testing	eval-1	with_skill	FAIL	9.0s	11306	1	FAIL	Checks for product-marketing.md	No output files were captured. The response is a direct chat response and does not reference or indicate the existence/content of a file named 'product-marketing.md'.	1	3
ab-testing	eval-1	with_skill	FAIL	9.0s	11306	2	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	9.0s	11306	3	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	9.0s	11306	4	PASS			1	3
