Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	13.5s	3851	1	FAIL	Checks for product-marketing.md	judge did not provide concrete evidence	1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	3851	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	3851	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	3851	4	FAIL	Mentions Crossbeam or account overlap data	The text mentions 'Crossbeam' is not present. It mentions 'account overlap data' is not present. The text discusses 'Audience Fit', 'Brand Alignment', and 'Reciprocity' in the scoring matrix, but doe…	1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	3851	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	3851	6	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	12.1s	3737	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	12.1s	3737	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	12.1s	3737	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	12.1s	3737	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	12.1s	3737	5	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	6.7s	3149	1	FAIL	Includes subject with both company names	Subject lines use placeholders [Your Company] and [Their Company] rather than specific company names. The assertion requires specific company names to be included.	3	1
ab-testing	eval-3	with_skill	FAIL	6.7s	3149	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	6.7s	3149	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	6.7s	3149	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	6.7s	3149	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	6.7s	3149	6	FAIL	Mentions what to prepare for the call	The email asks for a chat to 'see if this makes sense' but does not specify any materials or data the recipient needs to prepare. The 'Next Steps' section advises *the sender* to prepare metrics, not…	3	1
ab-testing	eval-4	with_skill	FAIL	13.1s	3828	1	FAIL	Applies partner scoring criteria	"judge returned unparseable response: { ""assertion_results"": [ { ""text"": ""Applies partner scoring criteria"", ""passed"": true, ""evidence"": ""The output provides a 'Decision Matrix' table in Step 3 that a…"	4	1
