Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	2.5s	14600	1	FAIL	Checks for product-marketing.md	judge did not provide concrete evidence	1	3
ab-testing	eval-1	with_skill	FAIL	2.5s	14600	2	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	2.5s	14600	3	FAIL	Mentions extracting jobs to be done, pain points, and desired outcomes	judge did not provide concrete evidence	1	3
ab-testing	eval-1	with_skill	FAIL	2.5s	14600	4	FAIL	Suggests organizing quotes by theme	judge did not provide concrete evidence	1	3
ab-testing	eval-1	with_skill	FAIL	2.5s	14600	5	FAIL	References frequency and intensity scoring	judge did not provide concrete evidence	1	3
ab-testing	eval-1	with_skill	FAIL	2.5s	14600	6	FAIL	Asks which deliverable is needed	judge did not provide concrete evidence	1	3
ab-testing	eval-2	with_skill	FAIL	3.0s	14654	1	FAIL	Checks for product-marketing.md	judge did not provide concrete evidence	2	3
ab-testing	eval-2	with_skill	FAIL	3.0s	14654	2	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	3.0s	14654	3	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	3.0s	14654	4	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	3.0s	14654	5	PASS			2	3
ab-testing	eval-3	with_skill	FAIL	17.4s	16120	1	FAIL	Checks for product-marketing.md	Output files: No output files were captured. The text does not mention creating or checking for a file named 'product-marketing.md'.	3	3
ab-testing	eval-3	with_skill	FAIL	17.4s	16120	2	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	17.4s	16120	3	FAIL	Suggests reading 3-star and 1-star G2 reviews	The text mentions analyzing 'G2/Capterra review patterns' and quotes 'G2 Review', but does not explicitly advise the user to read 3-star or 1-star reviews specifically. It mentions G2 in the context …	3	3
ab-testing	eval-3	with_skill	FAIL	17.4s	16120	4	FAIL	Recommends competitor 4-star reviews for buried complaints	The text mentions 'G2 1-star reviews' in the confidence scoring table but does not mention 4-star reviews or the specific strategy of looking for 'buried complaints' in them.	3	3
ab-testing	eval-3	with_skill	FAIL	17.4s	16120	5	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	17.4s	16120	6	FAIL	Mentions what to look for: complaints, workarounds, switching triggers	The text focuses on identifying 'themes of dissatisfaction' (complaints). It does not explicitly list 'workarounds' or 'switching triggers' as specific things to look for in the research instructions…	3	3
ab-testing	eval-4	with_skill	FAIL	9.1s	15293	1	FAIL	Checks for product-marketing.md	The model output contains no file references or mentions of 'product-marketing.md'. It provides text in chat format.	4	3
ab-testing	eval-4	with_skill	FAIL	9.1s	15293	2	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	9.1s	15293	3	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	9.1s	15293	4	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	9.1s	15293	5	PASS			4	3
ab-testing	eval-4	with_skill	FAIL	9.1s	15293	6	FAIL	Notes minimum data threshold (5-10 data points)	The model mentions needing 'specific research assets' and 'data', but never specifies a minimum threshold such as '5-10 data points'.	4	3
ab-testing	eval-5	with_skill	FAIL	6.2s	15010	1	FAIL	Checks for product-marketing.md	Output files section states 'No output files were captured'. No mention of creating 'product-marketing.md' in the text.	5	3
ab-testing	eval-5	with_skill	FAIL	6.2s	15010	2	FAIL	Recommends categorizing tickets before analyzing (bugs vs confusion vs feature requests)	The model does not recommend categorizing *before* analyzing; instead, it states 'here is how we will approach the analysis' and asks for product context and ticket structure first. It lists buckets …	5	3
ab-testing	eval-5	with_skill	FAIL	6.2s	15010	3	FAIL	Warns against treating all tickets as equal signal	The phrase 'Warns against treating all tickets as equal signal' does not appear. The model mentions 'high-signal asset' but does not explicitly warn against treating them as equal.	5	3
ab-testing	eval-5	with_skill	FAIL	6.2s	15010	4	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	6.2s	15010	5	PASS			5	3
ab-testing	eval-6	with_skill	FAIL	2.0s	14560	1	FAIL	Checks for product-marketing.md	Output files: No output files were captured.	6	3
