Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	1	FAIL	Checks for product-marketing.md	No reference to product-marketing.md in output	1	6
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	2	PASS			1	6
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	3	PASS			1	6
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	4	FAIL	Produces 13-section plan structured by AARRR	Output only contains INIT phase intake questions, no 13-section plan produced	1	6
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	5	FAIL	Section 3 scores against the embedded 17-section rubric	No 13-section plan exists, Section 3 not present	1	6
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	6	FAIL	Section 9 (90-day roadmap) has owner-assigned moves, not just actions	No 13-section plan exists, Section 9 not present	1	6
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	7	FAIL	Section 10 names funding-stage capability unlocks explicitly	judge omitted this assertion result	1	6
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	8	FAIL	Section 11 maps marketing skills + MCPs to each AARRR stage	No 13-section plan exists, Section 10 not present	1	6
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	9	FAIL	Section 12 cross-references all 139 marketing-ideas with client-specific status	No 13-section plan exists, Section 11 not present	1	6
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	10	FAIL	Output is Notion-paste-ready markdown	No 13-section plan exists, Section 12 not present	1	6
ab-testing	eval-1	with_skill	FAIL	14.2s	169862	11	FAIL	Plan is specific to the client (their budget, team, current channels), not generic	Output is incomplete (INT phase only), not a complete marketing plan	1	6
ab-testing	eval-2	with_skill	FAIL	11.2s	169621	1	FAIL	Recognizes pre-seed tier and uses Tier 1 budget profile	Model acknowledges 'Pre-seed bootstrapped' in context but does not apply Tier 1 budget profile to recommendations.	2	6
ab-testing	eval-2	with_skill	FAIL	11.2s	169621	2	FAIL	Skips paid acquisition recommendations until budget unlocks	No acquisition recommendations made yet; output is intake-only.	2	6
ab-testing	eval-2	with_skill	FAIL	11.2s	169621	3	FAIL	Leans Acquisition on organic + lifecycle + ambassador	No acquisition channel recommendations provided in output.	2	6
ab-testing	eval-2	with_skill	FAIL	11.2s	169621	4	FAIL	Names what unlocks when seed closes	Intake question #6 asks 'What unlocks when the round closes?' but model does not name specific unlocks.	2	6
ab-testing	eval-2	with_skill	FAIL	11.2s	169621	5	FAIL	Accounts for product being in beta	Product beta status noted in context but no beta-specific strategy applied.	2	6
ab-testing	eval-2	with_skill	FAIL	11.2s	169621	6	FAIL	Identifies binding-constraint AARRR stage (likely Activation or Referral)	No AARRR funnel analysis or constraint identification in output.	2	6
ab-testing	eval-2	with_skill	FAIL	11.2s	169621	7	FAIL	Executive summary can be lifted into an investor update	No executive summary provided; output is intake questionnaire only.	2	6
ab-testing	eval-2	with_skill	FAIL	11.2s	169621	8	FAIL	Plan is operationally honest — doesn't pretend paid budget exists	Model acknowledges '$0 paid marketing budget' but no plan created yet to verify operational honesty.	2	6
ab-testing	eval-3	with_skill	FAIL	8.0s	169460	1	FAIL	Asks for the audit output	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agent's output against a set of assertions based on provided grading principles. * **Input:** *…	3	6
ab-testing	eval-3	with_skill	FAIL	8.0s	169460	2	FAIL	Ingests prior audit scoring directly into Section 3	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agent's output against a set of assertions based on provided grading principles. * **Input:** *…	3	6
ab-testing	eval-3	with_skill	FAIL	8.0s	169460	3	FAIL	Does not re-score what's already been scored	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agent's output against a set of assertions based on provided grading principles. * **Input:** *…	3	6
ab-testing	eval-3	with_skill	FAIL	8.0s	169460	4	FAIL	Notes the scoring date and flags any shifted material	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agent's output against a set of assertions based on provided grading principles. * **Input:** *…	3	6
ab-testing	eval-3	with_skill	FAIL	8.0s	169460	5	FAIL	Uses audit gaps to inform 90-day roadmap and AARRR section moves	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agent's output against a set of assertions based on provided grading principles. * **Input:** *…	3	6
ab-testing	eval-3	with_skill	FAIL	8.0s	169460	6	FAIL	Still produces a full 13-section plan, not just Section 3	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Task:** Grade an agent's output against a set of assertions based on provided grading principles. * **Input:** *…	3	6
ab-testing	eval-4	with_skill	FAIL	13.4s	169675	1	FAIL	Reads ~/marketing-plans/acme-saas/progress.md	Model states: "Since I can't actually read files, I need to ask the user about the current state" and "Since I don't have access to the actual file system"	4	6
ab-testing	eval-4	with_skill	FAIL	13.4s	169675	2	FAIL	Resumes from next unfinished section based on state machine	Model asks user for information instead of resuming: "Could you also let me know: Do you have any materials already dropped in the plan folder... What was the last thing we were working on"	4	6
ab-testing	eval-4	with_skill	FAIL	13.4s	169675	3	PASS			4	6
ab-testing	eval-4	with_skill	FAIL	13.4s	169675	4	FAIL	Handles finalized state by asking user how to proceed (revise / fresh / re-open)	No finalized state encountered or handled in this execution - model only describes logic but does not demonstrate handling this case	4	6
ab-testing	eval-4	with_skill	FAIL	13.4s	169675	5	FAIL	Saves each newly confirmed section to the progress file	Output files: No output files were captured.	4	6
ab-testing	eval-5	with_skill	FAIL	21.5s	170565	1	FAIL	Recognizes hybrid hardware+software archetype	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against 8 specific assertions and return a strict JSON-only…	5	6
ab-testing	eval-5	with_skill	FAIL	21.5s	170565	2	FAIL	Acquisition leans on PR, retail, Amazon, Shopify SEO, paid	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against 8 specific assertions and return a strict JSON-only…	5	6
ab-testing	eval-5	with_skill	FAIL	21.5s	170565	3	FAIL	Activation covers unboxing, setup, first session, paywall	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against 8 specific assertions and return a strict JSON-only…	5	6
ab-testing	eval-5	with_skill	FAIL	21.5s	170565	4	FAIL	Retention covers lifecycle, community	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against 8 specific assertions and return a strict JSON-only…	5	6
ab-testing	eval-5	with_skill	FAIL	21.5s	170565	5	FAIL	Referral covers gifting, reviews	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against 8 specific assertions and return a strict JSON-only…	5	6
ab-testing	eval-5	with_skill	FAIL	21.5s	170565	6	FAIL	Revenue covers blended LTV with hardware + subscription + accessories	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against 8 specific assertions and return a strict JSON-only…	5	6
