Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	3.1s	9645	1	FAIL	Checks for product-marketing.md	Model output contains only questions requesting details; no file creation or 'product-marketing.md' mentioned.	1	7
ab-testing	eval-1	with_skill	FAIL	3.1s	9645	2	FAIL	Implements Organization schema in JSON-LD	Model output contains no JSON-LD code or schema implementation.	1	7
ab-testing	eval-1	with_skill	FAIL	3.1s	9645	3	FAIL	Includes required and recommended properties	Model output contains no JSON-LD code or schema implementation.	1	7
ab-testing	eval-1	with_skill	FAIL	3.1s	9645	4	FAIL	Recommends additional relevant schema types	Model output contains no recommendations for schema types; it only asks clarifying questions.	1	7
ab-testing	eval-1	with_skill	FAIL	3.1s	9645	5	FAIL	Uses @graph for multiple types	Model output contains no JSON-LD code or schema implementation.	1	7
ab-testing	eval-1	with_skill	FAIL	3.1s	9645	6	FAIL	Provides complete JSON-LD code	Model output contains no JSON-LD code.	1	7
ab-testing	eval-1	with_skill	FAIL	3.1s	9645	7	FAIL	Recommends validation tools	Model output contains no recommendations for validation tools.	1	7
ab-testing	eval-2	with_skill	FAIL	12.1s	10652	1	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	12.1s	10652	2	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	12.1s	10652	3	FAIL	Provides complete code example	Example uses placeholders like 'Your first question here?' and 'Your detailed answer here...' with comment '// ... continue for all 20 questions', lacking a complete functional implementation with re…	2	7
ab-testing	eval-2	with_skill	FAIL	12.1s	10652	4	FAIL	Explains rich result benefits	Text states 'Google doesn't guarantee rich results will appear' and discusses eligibility, but does not explain specific benefits to the user (e.g., increased CTR, visibility, trust).	2	7
ab-testing	eval-2	with_skill	FAIL	12.1s	10652	5	PASS			2	7
ab-testing	eval-2	with_skill	FAIL	12.1s	10652	6	PASS			2	7
ab-testing	eval-3	with_skill	FAIL	7.0s	10082	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	7
ab-testing	eval-3	with_skill	FAIL	7.0s	10082	2	PASS			3	7
ab-testing	eval-3	with_skill	FAIL	7.0s	10082	3	PASS			3	7
ab-testing	eval-3	with_skill	FAIL	7.0s	10082	4	PASS			3	7
ab-testing	eval-3	with_skill	FAIL	7.0s	10082	5	PASS			3	7
ab-testing	eval-3	with_skill	FAIL	7.0s	10082	6	FAIL	Addresses CMS integration for dynamic fields	The model states: 'Once you answer the questions above, I can provide a more tailored implementation, including code examples specific to your tech stack.' It does not provide CMS integration advice …	3	7
ab-testing	eval-4	with_skill	FAIL	14.0s	10850	1	PASS			4	7
ab-testing	eval-4	with_skill	FAIL	14.0s	10850	2	PASS			4	7
ab-testing	eval-4	with_skill	FAIL	14.0s	10850	3	PASS			4	7
ab-testing	eval-4	with_skill	FAIL	14.0s	10850	4	PASS			4	7
ab-testing	eval-4	with_skill	FAIL	14.0s	10850	5	PASS			4	7
ab-testing	eval-4	with_skill	FAIL	14.0s	10850	6	PASS			4	7
ab-testing	eval-5	with_skill	FAIL	2.7s	9622	1	PASS			5	7
ab-testing	eval-5	with_skill	FAIL	2.7s	9622	2	PASS			5	7
ab-testing	eval-5	with_skill	FAIL	2.7s	9622	3	PASS			5	7
ab-testing	eval-5	with_skill	FAIL	2.7s	9622	4	PASS			5	7
ab-testing	eval-5	with_skill	FAIL	2.7s	9622	5	FAIL	Addresses warnings vs errors distinction	The text mentions 'errors/warnings' collectively but does not explain the distinction or how they differ in handling.	5	7
ab-testing	eval-5	with_skill	FAIL	2.7s	9622	6	FAIL	Provides systematic debugging approach	The model asks clarifying questions and lists reasons, but does not provide a step-by-step systematic methodology or framework for debugging.	5	7
ab-testing	eval-6	with_skill	FAIL	5.9s	9966	1	PASS			6	7
ab-testing	eval-6	with_skill	FAIL	5.9s	9966	2	FAIL	References or defers to seo-audit skill	The model generates a general diagnostic response without mentioning an 'seo-audit' skill or deferring to it. No tool call for such a skill was made.	6	7
ab-testing	eval-6	with_skill	FAIL	5.9s	9966	3	PASS			6	7
