Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	8.9s	11822	1	FAIL	Checks for product-marketing.md	Output files: 'No output files were captured.' The model response contains no reference to product-marketing.md.	1	1
ab-testing	eval-1	with_skill	FAIL	8.9s	11822	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	8.9s	11822	3	FAIL	Applies the 5 principles	The model mentions 'lead-magnets skill principles (specifically solving a specific problem and matching the buyer stage)' but does not explicitly list or apply all 5 principles as defined in a standa…	1	1
ab-testing	eval-1	with_skill	FAIL	8.9s	11822	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	8.9s	11822	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	8.9s	11822	6	FAIL	Outlines all 5 output sections (recommendation, content, gating, distribution, measurement)	The model explicitly states: 'Let me know your answers... and I’ll flesh out the full strategy (content outline, gating, and distribution)'. It does not provide the content, gating, distribution, or …	1	1
ab-testing	eval-2	with_skill	FAIL	14.6s	12388	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	12388	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	12388	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	12388	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	12388	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	14.6s	12388	6	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	9.7s	11902	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	9.7s	11902	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	9.7s	11902	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	9.7s	11902	4	FAIL	Asks what fields are actually used	The model asks 'What is the lead magnet?' and 'What is your sales cycle?' but does not explicitly ask what fields are currently in use or what specific data the user is trying to capture from the exi…	3	1
ab-testing	eval-3	with_skill	FAIL	9.7s	11902	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	9.7s	11902	6	FAIL	Cross-references cro skill	No mention of 'cro', 'CRO', 'conversion rate optimization', or cross-referencing a specific skill module in the output.	3	1
ab-testing	eval-4	with_skill	FAIL	11.1s	12030	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	11.1s	12030	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	11.1s	12030	3	PASS			4	1
