Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	18.9s	15303	1	FAIL	Checks for product-marketing.md	No output files captured. No reference to product-marketing.md in model output.	1	2
ab-testing	eval-1	with_skill	FAIL	18.9s	15303	2	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	18.9s	15303	3	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	18.9s	15303	4	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	18.9s	15303	5	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	18.9s	15303	6	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	18.9s	15303	7	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	18.9s	15303	8	PASS			1	2
ab-testing	eval-2	with_skill	FAIL	10.2s	14572	1	FAIL	Identifies clichés and filler phrases	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	10.2s	14572	2	FAIL	Flags 'click here' and 'learn more' as weak	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	10.2s	14572	3	FAIL	Applies word-level and sentence-level checks	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	10.2s	14572	4	FAIL	Rewrites with specific value and strong CTA	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	10.2s	14572	5	FAIL	Uses active voice in rewrite	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-2	with_skill	FAIL	10.2s	14572	6	FAIL	Keeps response concise for a quick edit	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	2	2
ab-testing	eval-3	with_skill	FAIL	19.4s	15384	1	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	19.4s	15384	2	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	19.4s	15384	3	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	19.4s	15384	4	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	19.4s	15384	5	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	19.4s	15384	6	PASS			3	2
ab-testing	eval-4	with_skill	FAIL	16.4s	15097	1	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	16.4s	15097	2	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	16.4s	15097	3	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	16.4s	15097	4	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	16.4s	15097	5	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	16.4s	15097	6	PASS			4	2
ab-testing	eval-5	with_skill	FAIL	14.7s	14946	1	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	14.7s	14946	2	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	14.7s	14946	3	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	14.7s	14946	4	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	14.7s	14946	5	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	14.7s	14946	6	PASS			5	2
ab-testing	eval-6	with_skill	FAIL	7.9s	14369	1	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	7.9s	14369	2	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	7.9s	14369	3	PASS			6	2
ab-testing	eval-6	with_skill	FAIL	7.9s	14369	4	PASS			6	2
