Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	21.7s	14838	1	FAIL	Checks for product-marketing.md	Output files section states: 'No output files were captured.' The model provided text content but did not generate a file named product-marketing.md.	1	1
ab-testing	eval-1	with_skill	FAIL	21.7s	14838	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	21.7s	14838	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	21.7s	14838	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	21.7s	14838	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	21.7s	14838	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	21.7s	14838	7	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	21.7s	14838	8	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	21.7s	14838	9	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	9.5s	13572	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.5s	13572	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.5s	13572	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.5s	13572	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.5s	13572	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.5s	13572	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.5s	13572	7	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	17.0s	14332	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	1
ab-testing	eval-3	with_skill	FAIL	17.0s	14332	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.0s	14332	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.0s	14332	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.0s	14332	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.0s	14332	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.0s	14332	7	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.0s	14332	8	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	17.0s	14332	9	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	17.2s	14233	1	FAIL	Applies About Page guidance	Output begins with 'Before drafting the full copy, I need a few quick details...' and includes placeholders like '[Founder 1]', '[Product Name]', explicitly stating it is a 'template' rather than a f…	4	1
ab-testing	eval-4	with_skill	FAIL	17.2s	14233	2	FAIL	Tells the story of why the company exists	The section 'The Problem (The Origin Story)' uses placeholders: 'Meet [Founder 1], [Founder 2], and [Founder 3]' and 'Once, we lost [Specific Incident...]', meaning the specific story is not told but…	4	1
ab-testing	eval-4	with_skill	FAIL	17.2s	14233	3	FAIL	Connects mission to customer benefit	While it attempts to connect (e.g., 'built by developers who learned the hard way'), the connection relies on generic placeholders ('[Previous Company Type/Startup]') and lacks the specific concrete …	4	1
ab-testing	eval-4	with_skill	FAIL	17.2s	14233	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	17.2s	14233	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	17.2s	14233	6	FAIL	Uses the founder origin story	Output uses a template structure 'Meet [Founder 1]...' and asks user to 'Fill in the placeholders', rather than providing a concrete founder origin story.	4	1
ab-testing	eval-4	with_skill	FAIL	17.2s	14233	7	FAIL	Connects personal pain to customer pain	The personal pain is templated: 'Once, we lost [Specific Incident...]' and 'It wasn’t the code that scared us. It was the risk.' Without specific details, the specific connection is not fully realize…	4	1
ab-testing	eval-4	with_skill	FAIL	17.2s	14233	8	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	17.2s	14233	9	PASS			4	1
ab-testing	eval-5	with_skill	FAIL	6.3s	13228	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	6.3s	13228	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	6.3s	13228	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	6.3s	13228	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	6.3s	13228	5	FAIL	Considers CTA hierarchy (primary vs secondary)	The model groups alternatives by user intent (trial, research, comparison) and destination, but does not explicitly define or discuss a hierarchy of primary vs secondary CTAs in the context of placem…	5	1
ab-testing	eval-5	with_skill	FAIL	6.3s	13228	6	FAIL	Suggests complementary CTAs	The model suggests alternatives to replace 'Learn More' but does not suggest additional, complementary CTAs (e.g., a secondary CTA like 'Download Guide' alongside the primary 'Start Trial') to be use…	5	1
ab-testing	eval-6	with_skill	FAIL	18.2s	14571	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	18.2s	14571	2	FAIL	References or defers to emails skill	The model provides a direct text response with drafted emails. There is no mention of an 'email skill', 'email module', or deferral to such a tool. It performs the task directly using internal knowle…	6	1
ab-testing	eval-6	with_skill	FAIL	18.2s	14571	3	PASS			6	1
ab-testing	eval-7	with_skill	FAIL	8.0s	13452	1	PASS			7	1
ab-testing	eval-7	with_skill	FAIL	8.0s	13452	2	PASS			7	1
ab-testing	eval-7	with_skill	FAIL	8.0s	13452	3	PASS			7	1
ab-testing	eval-7	with_skill	FAIL	8.0s	13452	4	PASS			7	1
ab-testing	eval-7	with_skill	FAIL	8.0s	13452	5	PASS			7	1
ab-testing	eval-7	with_skill	FAIL	8.0s	13452	6	PASS			7	1
ab-testing	eval-7	with_skill	FAIL	8.0s	13452	7	PASS			7	1
