Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	4.9s	29718	1	PASS			1	5
ab-testing	eval-1	with_skill	FAIL	4.9s	29718	2	PASS			1	5
ab-testing	eval-1	with_skill	FAIL	4.9s	29718	3	FAIL	Runs Phase 1 ICP definition	No Phase 1 ICP definition executed, only listed missing inputs	1	5
ab-testing	eval-1	with_skill	FAIL	4.9s	29718	4	FAIL	Recommends multi-source discovery (Apollo, Clay, Crunchbase, BuiltWith)	Only mentions Apollo, Clay, ZoomInfo - no Crunchbase or BuiltWith recommended	1	5
ab-testing	eval-1	with_skill	FAIL	4.9s	29718	5	FAIL	Asks about user's tool access	Lists tool access as missing but does not ask the user about it	1	5
ab-testing	eval-1	with_skill	FAIL	4.9s	29718	6	FAIL	Sources 2-3x candidates before qualifying	No candidates sourced in output	1	5
ab-testing	eval-1	with_skill	FAIL	4.9s	29718	7	FAIL	Requires email validation before final list	No email validation requirement mentioned	1	5
ab-testing	eval-1	with_skill	FAIL	4.9s	29718	8	FAIL	Outputs SaaS-branch chat table columns	No output files were captured, no chat table shown	1	5
ab-testing	eval-1	with_skill	FAIL	4.9s	29718	9	FAIL	Includes top 3-5 outreach targets with rationale	No outreach targets included in output	1	5
ab-testing	eval-1	with_skill	FAIL	4.9s	29718	10	FAIL	References saas-prospecting.md	No reference to saas-prospecting.md file	1	5
ab-testing	eval-2	with_skill	FAIL	17.5s	30753	1	FAIL	Identifies as SaaS branch	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against a set of assertions and return strict JSON only. Le…	2	5
ab-testing	eval-2	with_skill	FAIL	17.5s	30753	2	FAIL	Identifies funding signal + tech stack filter	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against a set of assertions and return strict JSON only. Le…	2	5
ab-testing	eval-2	with_skill	FAIL	17.5s	30753	3	FAIL	Recommends Crunchbase or Pitchbook for funding	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against a set of assertions and return strict JSON only. Le…	2	5
ab-testing	eval-2	with_skill	FAIL	17.5s	30753	4	FAIL	Recommends BuiltWith or Clay for HubSpot verification	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against a set of assertions and return strict JSON only. Le…	2	5
ab-testing	eval-2	with_skill	FAIL	17.5s	30753	5	FAIL	Notes data freshness concerns	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against a set of assertions and return strict JSON only. Le…	2	5
ab-testing	eval-2	with_skill	FAIL	17.5s	30753	6	FAIL	Recommends cross-source verification	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against a set of assertions and return strict JSON only. Le…	2	5
ab-testing	eval-2	with_skill	FAIL	17.5s	30753	7	FAIL	Outputs signal column showing round + date	judge returned unparseable response: The user is asking me to grade an agentskills.io evaluation run. I need to evaluate the model's output against a set of assertions and return strict JSON only. Le…	2	5
