Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	10.9s	8705	1	FAIL	Checks for product-marketing.md	Model stated 'Let me first check if there's a product marketing context file to read' but no file was actually read or output captured	1	6
ab-testing	eval-1	with_skill	FAIL	10.9s	8705	2	PASS			1	6
ab-testing	eval-1	with_skill	FAIL	10.9s	8705	3	FAIL	Uses real screen recording, not AI generated UI	No actual screen recording present in output; only tool recommendations mentioned (Loom/Camtasia)	1	6
ab-testing	eval-1	with_skill	FAIL	10.9s	8705	4	PASS			1	6
ab-testing	eval-1	with_skill	FAIL	10.9s	8705	5	PASS			1	6
ab-testing	eval-1	with_skill	FAIL	10.9s	8705	6	FAIL	Cross-references copywriting skill	No mention of copywriting skill; only references 'video skill documentation'	1	6
ab-testing	eval-2	with_skill	FAIL	12.6s	8846	1	PASS			2	6
ab-testing	eval-2	with_skill	FAIL	12.6s	8846	2	PASS			2	6
ab-testing	eval-2	with_skill	FAIL	12.6s	8846	3	FAIL	Mentions HeyGen MCP server for agents	No mention of MCP server in output	2	6
ab-testing	eval-2	with_skill	FAIL	12.6s	8846	4	PASS			2	6
ab-testing	eval-2	with_skill	FAIL	12.6s	8846	5	PASS			2	6
ab-testing	eval-2	with_skill	FAIL	12.6s	8846	6	FAIL	Warns about authenticity tradeoff	No authenticity tradeoff warning present in output	2	6
ab-testing	eval-3	with_skill	FAIL	11.0s	8720	1	PASS			3	6
ab-testing	eval-3	with_skill	FAIL	11.0s	8720	2	PASS			3	6
ab-testing	eval-3	with_skill	FAIL	11.0s	8720	3	PASS			3	6
ab-testing	eval-3	with_skill	FAIL	11.0s	8720	4	PASS			3	6
ab-testing	eval-3	with_skill	FAIL	11.0s	8720	5	FAIL	Notes Sora reliability caveats	Sora 2 is mentioned ('Sora 2: Cinematic quality with synced audio') but no reliability caveats are noted about Sora specifically	3	6
ab-testing	eval-4	with_skill	FAIL	9.7s	8607	1	PASS			4	6
ab-testing	eval-4	with_skill	FAIL	9.7s	8607	2	PASS			4	6
ab-testing	eval-4	with_skill	FAIL	9.7s	8607	3	FAIL	Mentions captions essential	Captions mentioned multiple times but 'essential' keyword not found in output	4	6
ab-testing	eval-4	with_skill	FAIL	9.7s	8607	4	PASS			4	6
ab-testing	eval-4	with_skill	FAIL	9.7s	8607	5	FAIL	Mentions hooking in first 3 seconds	No mention of 'hook', 'first 3 seconds', or '3s' found in output	4	6
ab-testing	eval-4	with_skill	FAIL	9.7s	8607	6	PASS			4	6
ab-testing	eval-5	with_skill	FAIL	11.6s	8775	1	PASS			5	6
ab-testing	eval-5	with_skill	FAIL	11.6s	8775	2	PASS			5	6
ab-testing	eval-5	with_skill	FAIL	11.6s	8775	3	PASS			5	6
ab-testing	eval-5	with_skill	FAIL	11.6s	8775	4	FAIL	Recommends testing 5 manually first	No mention of testing 5 manually in output	5	6
ab-testing	eval-5	with_skill	FAIL	11.6s	8775	5	FAIL	Mentions reply tracking / ROI	No mention of reply tracking or ROI in output	5	6
ab-testing	eval-5	with_skill	FAIL	11.6s	8775	6	FAIL	Mentions captions	No mention of captions in output	5	6
ab-testing	eval-6	with_skill	FAIL	9.3s	8597	1	PASS			6	6
ab-testing	eval-6	with_skill	FAIL	9.3s	8597	2	PASS			6	6
ab-testing	eval-6	with_skill	FAIL	9.3s	8597	3	PASS			6	6
ab-testing	eval-6	with_skill	FAIL	9.3s	8597	4	PASS			6	6
ab-testing	eval-6	with_skill	FAIL	9.3s	8597	5	PASS			6	6
ab-testing	eval-6	with_skill	FAIL	9.3s	8597	6	PASS			6	6
