Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	13.5s	4310	1	FAIL	Checks for product-marketing.md	Output files section states: 'No output files were captured.' The model did not generate a file named product-marketing.md.	1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	4310	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	4310	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	4310	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	4310	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	4310	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	4310	7	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	4310	8	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	13.5s	4310	9	FAIL	Includes conversion benchmarks	Model output: 'Track: ...Conversion rate (submissions / impressions)' but provides no specific numerical benchmarks (e.g., 'aim for 20% conversion') or industry standard percentages. It only lists me…	1	1
ab-testing	eval-2	with_skill	FAIL	13.5s	4298	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.5s	4298	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.5s	4298	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.5s	4298	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.5s	4298	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.5s	4298	6	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	13.5s	4298	7	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	13.5s	4392	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	1
ab-testing	eval-3	with_skill	FAIL	13.5s	4392	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.5s	4392	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.5s	4392	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.5s	4392	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.5s	4392	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	13.5s	4392	7	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	9.6s	4022	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.6s	4022	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.6s	4022	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.6s	4022	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.6s	4022	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.6s	4022	6	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	9.6s	4022	7	FAIL	Applies copy formulas	The model provides example headlines (e.g., 'Get Your Free Subject Line Swipe File') but does not explicitly mention, reference, or apply specific copywriting formulas (such as AIDA, PAS, or FAB) or …	4	1
ab-testing	eval-5	with_skill	FAIL	11.6s	4301	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.6s	4301	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.6s	4301	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.6s	4301	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.6s	4301	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.6s	4301	6	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	11.6s	4301	7	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	8.1s	3897	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	8.1s	3897	2	FAIL	References or defers to cro skill	The text contains the phrase 'based on popup CRO best practices' as a general knowledge reference, but does not explicitly reference a specific 'cro skill', tool, or system capability (e.g., 'I will …	6	1
ab-testing	eval-6	with_skill	FAIL	8.1s	3897	3	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	8.1s	3897	4	PASS			6	1
ab-testing	eval-1	with_skill	FAIL	13.4s	4463	1	FAIL	Checks for product-marketing.md	Output files section states: 'No output files were captured.'	1	2
ab-testing	eval-1	with_skill	FAIL	13.4s	4463	2	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.4s	4463	3	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.4s	4463	4	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.4s	4463	5	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.4s	4463	6	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.4s	4463	7	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.4s	4463	8	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.4s	4463	9	FAIL	Includes conversion benchmarks	The output discusses A/B testing variables and hypotheses but does not provide any specific conversion rate benchmarks (e.g., 'industry average is 5%'). It only suggests testing 'Cost Per Lead'.	1	2
ab-testing	eval-2	with_skill	FAIL	13.2s	4287	1	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	13.2s	4287	2	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	13.2s	4287	3	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	13.2s	4287	4	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	13.2s	4287	5	FAIL	Includes urgency element	The output suggests a 'two-popup strategy' and 'A/B Test Ideas' but does not include specific urgency copy (e.g., 'expires in 24 hours') or scarcity elements in the recommended headline, subheadline,…	2	2
ab-testing	eval-2	with_skill	FAIL	13.2s	4287	6	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	13.2s	4287	7	FAIL	Addresses compliance considerations	The output does not mention GDPR, CCPA, or other data privacy regulations regarding email capture or cookie usage for targeting.	2	2
ab-testing	eval-3	with_skill	FAIL	13.3s	4442	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	2
ab-testing	eval-3	with_skill	FAIL	13.3s	4442	2	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	13.3s	4442	3	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	13.3s	4442	4	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	13.3s	4442	5	FAIL	Suggests excluding existing subscribers	The model suggests excluding users based on dismissal history (frequency capping) and segmenting by 'New vs. Returning Visitors'. It does not explicitly suggest excluding 'existing subscribers' (i.e.…	3	2
ab-testing	eval-3	with_skill	FAIL	13.3s	4442	6	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	13.3s	4442	7	PASS			3	2
ab-testing	eval-4	with_skill	FAIL	14.0s	4490	1	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	14.0s	4490	2	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	14.0s	4490	3	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	14.0s	4490	4	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	14.0s	4490	5	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	14.0s	4490	6	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	14.0s	4490	7	FAIL	Applies copy formulas	While the model provides copy *examples* (e.g., 'Send Me the Templates'), it does not explicitly state that it is applying a specific named copy formula (such as AIDA, PAS, or BAB). The advice is gen…	4	2
ab-testing	eval-5	with_skill	FAIL	10.1s	4102	1	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	10.1s	4102	2	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	10.1s	4102	3	PASS			5	2
ab-testing	eval-5	with_skill	FAIL	10.1s	4102	4	PASS			5	2
