Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	5.8s	2327	1	FAIL	Checks for existing product-marketing.md	Model asks user 'Do you already have a product marketing context document anywhere?' instead of using tool to check file existence.	1	1
ab-testing	eval-1	with_skill	FAIL	5.8s	2327	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	5.8s	2327	3	FAIL	Covers applicable sections	No sections covered in output; only setup questions offered.	1	1
ab-testing	eval-1	with_skill	FAIL	5.8s	2327	4	FAIL	Walks through sections conversationally one at a time	No section walkthrough occurred; model only offered options.	1	1
ab-testing	eval-1	with_skill	FAIL	5.8s	2327	5	FAIL	Creates file at .agents/product-marketing.md	Output files: 'No output files were captured.'	1	1
ab-testing	eval-2	with_skill	FAIL	2.6s	2068	1	FAIL	Reads existing product-marketing.md	No output files were captured	2	1
ab-testing	eval-2	with_skill	FAIL	2.6s	2068	2	FAIL	Identifies sections that need updating	No document content was read; no sections identified	2	1
ab-testing	eval-2	with_skill	FAIL	2.6s	2068	3	FAIL	Updates Target Audience with VP of Engineering	No file modification occurred	2	1
ab-testing	eval-2	with_skill	FAIL	2.6s	2068	4	FAIL	Adds new persona for the expanded audience	No persona added; no file output captured	2	1
ab-testing	eval-2	with_skill	FAIL	2.6s	2068	5	FAIL	Updates Product Overview for enterprise tier	No Product Overview section updated	2	1
ab-testing	eval-2	with_skill	FAIL	2.6s	2068	6	FAIL	Preserves unchanged sections	No file modification to verify preservation	2	1
ab-testing	eval-3	with_skill	FAIL	7.2s	2436	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	7.2s	2436	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	7.2s	2436	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	7.2s	2436	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	7.2s	2436	5	FAIL	Notes some sections may be sparse early on	No explicit mention of sparse sections in model output	3	1
ab-testing	eval-3	with_skill	FAIL	7.2s	2436	6	FAIL	Skips non-applicable sections rather than forcing all 12	Model did not mention skipping sections, only 'walk you through each section'	3	1
ab-testing	eval-3	with_skill	FAIL	7.2s	2436	7	FAIL	Creates file at .agents/product-marketing.md	Output files section states: 'No output files were captured'	3	1
ab-testing	eval-4	with_skill	FAIL	5.0s	2256	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	5.0s	2256	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	5.0s	2256	3	FAIL	Drafts context from found information	No draft content produced in output	4	1
ab-testing	eval-4	with_skill	FAIL	5.0s	2256	4	FAIL	Flags sections needing manual input	No evidence of manual input flags in output	4	1
ab-testing	eval-4	with_skill	FAIL	5.0s	2256	5	FAIL	Presents draft for review before saving	No draft presented for review in output	4	1
ab-testing	eval-5	with_skill	FAIL	6.1s	2397	1	FAIL	Checks both file locations	Model states: "I don't have direct file system access in this conversation, so I need to ask the user to check" - did not actually check .agents/ or .claude/ locations	5	1
ab-testing	eval-5	with_skill	FAIL	6.1s	2397	2	FAIL	Reports whether context doc exists	Model explicitly says "I don't have direct access to their file system to check if this file exists" - does not report existence status	5	1
ab-testing	eval-5	with_skill	FAIL	6.1s	2397	3	FAIL	Summarizes contents if found	No file was found, no contents summarized. Model says "If found anywhere other than .agents/product-marketing.md, offer to move it" but never actually finds anything	5	1
ab-testing	eval-5	with_skill	FAIL	6.1s	2397	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	6.1s	2397	5	FAIL	Explains how other skills use it	Model mentions "other marketing skills have context about their product" but does not explain HOW other skills use the context document	5	1
ab-testing	eval-6	with_skill	FAIL	6.3s	2408	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	6.3s	2408	2	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	6.3s	2408	3	FAIL	References or defers to copywriting skill for the actual copy	No reference to a copywriting skill; only mentions product-marketing skill.	6	1
ab-testing	eval-6	with_skill	FAIL	6.3s	2408	4	PASS			6	1
