Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	19.6s	4187	1	FAIL	Checks for product-marketing.md	No mention of product-marketing.md in output	1	3
ab-testing	eval-1	with_skill	FAIL	19.6s	4187	2	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	19.6s	4187	3	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	19.6s	4187	4	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	19.6s	4187	5	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	19.6s	4187	6	PASS			1	3
ab-testing	eval-1	with_skill	FAIL	19.6s	4187	7	PASS			1	3
ab-testing	eval-2	with_skill	FAIL	11.2s	3450	1	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	11.2s	3450	2	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	11.2s	3450	3	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	11.2s	3450	4	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	11.2s	3450	5	PASS			2	3
ab-testing	eval-2	with_skill	FAIL	11.2s	3450	6	PASS			2	3
ab-testing	eval-3	with_skill	FAIL	12.2s	3527	1	FAIL	Triggers on casual phrasing	No special handling of casual phrasing detected; response is standard analytical format without acknowledgment of informal language.	3	3
ab-testing	eval-3	with_skill	FAIL	12.2s	3527	2	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	12.2s	3527	3	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	12.2s	3527	4	FAIL	Checks for 'No credit card required' messaging	Mentions "No credit card required" only as a test suggestion in Quick Wins table, not as a verification of current page state.	3	3
ab-testing	eval-3	with_skill	FAIL	12.2s	3527	5	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	12.2s	3527	6	PASS			3	3
ab-testing	eval-3	with_skill	FAIL	12.2s	3527	7	PASS			3	3
ab-testing	eval-4	with_skill	FAIL	12.5s	3540	1	FAIL	Applies verification flows guidance	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	4	3
ab-testing	eval-4	with_skill	FAIL	12.5s	3540	2	FAIL	Explains verification friction impact	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	4	3
ab-testing	eval-4	with_skill	FAIL	12.5s	3540	3	FAIL	Recommends delaying verification	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	4	3
ab-testing	eval-4	with_skill	FAIL	12.5s	3540	4	FAIL	Suggests letting users explore while pending	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	4	3
ab-testing	eval-4	with_skill	FAIL	12.5s	3540	5	FAIL	Discusses when verification is required	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	4	3
ab-testing	eval-4	with_skill	FAIL	12.5s	3540	6	FAIL	Provides improvements if verification is kept	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Grading p…	4	3
ab-testing	eval-5	with_skill	FAIL	9.4s	3283	1	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	9.4s	3283	2	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	9.4s	3283	3	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	9.4s	3283	4	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	9.4s	3283	5	PASS			5	3
ab-testing	eval-5	with_skill	FAIL	9.4s	3283	6	FAIL	Cross-references ab-testing skill	No mention of 'ab-testing' skill or A/B testing methodology in output	5	3
ab-testing	eval-6	with_skill	FAIL	14.1s	3722	1	PASS			6	3
ab-testing	eval-6	with_skill	FAIL	14.1s	3722	2	PASS			6	3
ab-testing	eval-6	with_skill	FAIL	14.1s	3722	3	PASS			6	3
