Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	20.7s	29841	1	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.7s	29841	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.7s	29841	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.7s	29841	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.7s	29841	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.7s	29841	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.7s	29841	7	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	20.7s	29841	8	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	9.2s	28646	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.2s	28646	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.2s	28646	3	FAIL	Applies campaign optimization framework	The output provides static analysis and conditional verdicts but fails to apply a dynamic optimization framework with specific algorithmic steps, bidding strategies, or automated adjustment protocols…	2	1
ab-testing	eval-2	with_skill	FAIL	9.2s	28646	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.2s	28646	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	9.2s	28646	6	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	12.9s	28843	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	12.9s	28843	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	12.9s	28843	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	12.9s	28843	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	12.9s	28843	5	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	12.9s	28843	6	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	12.9s	28843	7	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	10.1s	28705	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	10.1s	28705	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	10.1s	28705	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	10.1s	28705	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	10.1s	28705	5	FAIL	Suggests small test budget if proceeding	The model does not suggest a test budget; instead, it asks the user to provide their budget ('What budget would you allocate to a TikTok test?'). It does not advise on the amount.	4	1
ab-testing	eval-4	with_skill	FAIL	10.1s	28705	6	FAIL	Compares to their existing Google/Meta performance	The model asks the user to share their specific metrics ('Please share... Current Performance Metrics (Google & Meta)'). It provides only general industry benchmarks, not a comparison to the user's a…	4	1
ab-testing	eval-5	with_skill	FAIL	12.8s	29127	1	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.8s	29127	2	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.8s	29127	3	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.8s	29127	4	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.8s	29127	5	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.8s	29127	6	PASS			5	1
ab-testing	eval-5	with_skill	FAIL	12.8s	29127	7	PASS			5	1
ab-testing	eval-6	with_skill	FAIL	2.6s	27993	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	2.6s	27993	2	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	2.6s	27993	3	PASS			6	1
ab-testing	eval-1	with_skill	FAIL	1.8s	27914	1	FAIL	Checks for product-marketing.md	Output files: No output files were captured.	1	2
ab-testing	eval-1	with_skill	FAIL	1.8s	27914	2	FAIL	Applies platform selection guide	Output files: No output files were captured.	1	2
ab-testing	eval-1	with_skill	FAIL	1.8s	27914	3	FAIL	Recommends platforms appropriate for B2B HR audience	Output files: No output files were captured.	1	2
ab-testing	eval-1	with_skill	FAIL	1.8s	27914	4	FAIL	Recommends campaign structure with naming conventions	Output files: No output files were captured.	1	2
ab-testing	eval-1	with_skill	FAIL	1.8s	27914	5	FAIL	Defines audience targeting per platform	Output files: No output files were captured.	1	2
ab-testing	eval-1	with_skill	FAIL	1.8s	27914	6	FAIL	Sets budget allocation across platforms	Output files: No output files were captured.	1	2
ab-testing	eval-1	with_skill	FAIL	1.8s	27914	7	FAIL	Defines success metrics	Output files: No output files were captured.	1	2
ab-testing	eval-1	with_skill	FAIL	1.8s	27914	8	FAIL	Recommends starting structure and scaling plan	Output files: No output files were captured.	1	2
ab-testing	eval-2	with_skill	FAIL	12.5s	29011	1	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	12.5s	29011	2	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	12.5s	29011	3	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	12.5s	29011	4	FAIL	Recommends specific optimization levers	Lists specific actions: 'Check Keywords', 'Check Match Types' (switch to Phrase/Exact), 'Negative Keywords', switch to 'Target CPA bidding', and 'Test Meta Ads' with 'Conversions' objective.	2	2
ab-testing	eval-2	with_skill	FAIL	12.5s	29011	5	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	12.5s	29011	6	PASS			2	2
ab-testing	eval-3	with_skill	FAIL	12.0s	28958	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	2
ab-testing	eval-3	with_skill	FAIL	12.0s	28958	2	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	12.0s	28958	3	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	12.0s	28958	4	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	12.0s	28958	5	PASS			3	2
ab-testing	eval-3	with_skill	FAIL	12.0s	28958	6	FAIL	Recommends retargeting platforms	The output mentions installing pixels on 'Meta, Google, LinkedIn' in Section 4 as examples of where pixels fire, and mentions 'Meta Ads Manager/Google Ads' for creating audiences. However, it does no…	3	2
ab-testing	eval-3	with_skill	FAIL	12.0s	28958	7	PASS			3	2
ab-testing	eval-4	with_skill	FAIL	9.0s	28644	1	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	9.0s	28644	2	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	9.0s	28644	3	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	9.0s	28644	4	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	9.0s	28644	5	PASS			4	2
ab-testing	eval-4	with_skill	FAIL	9.0s	28644	6	FAIL	Compares to their existing Google/Meta performance	The model explicitly refuses to perform the comparison or give a recommendation without data: 'To give you a precise recommendation... I need to understand your current baseline performance.' It asks…	4	2
ab-testing	eval-5	with_skill	FAIL	13.9s	29150	1	PASS			5	2
