Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	13.6s	5346	1	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.6s	5346	2	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.6s	5346	3	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.6s	5346	4	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.6s	5346	5	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.6s	5346	6	PASS			1	2
ab-testing	eval-1	with_skill	FAIL	13.6s	5346	7	PASS			1	2
ab-testing	eval-2	with_skill	FAIL	9.8s	5024	1	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	9.8s	5024	2	FAIL	Applies ideation framework to validate	No ideation framework applied; only clarifying questions asked	2	2
ab-testing	eval-2	with_skill	FAIL	9.8s	5024	3	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	9.8s	5024	4	FAIL	Addresses build vs buy decision	Build options listed as future discussion point, not addressed in output	2	2
ab-testing	eval-2	with_skill	FAIL	9.8s	5024	5	PASS			2	2
ab-testing	eval-2	with_skill	FAIL	9.8s	5024	6	FAIL	Discusses SEO considerations	SEO strategy listed as next step, no actual SEO discussion in output	2	2
ab-testing	eval-2	with_skill	FAIL	9.8s	5024	7	FAIL	References evaluation scorecard	No evaluation scorecard referenced in output	2	2
ab-testing	eval-3	with_skill	FAIL	19.1s	5788	1	FAIL	Triggers on casual phrasing	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	2
ab-testing	eval-3	with_skill	FAIL	19.1s	5788	2	FAIL	Applies ideation framework	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	2
ab-testing	eval-3	with_skill	FAIL	19.1s	5788	3	FAIL	Generates ideas across multiple tool types	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	2
ab-testing	eval-3	with_skill	FAIL	19.1s	5788	4	FAIL	Ideas are relevant to email marketing + e-commerce	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	2
ab-testing	eval-3	with_skill	FAIL	19.1s	5788	5	FAIL	Provides 5-8 ideas	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	2
ab-testing	eval-3	with_skill	FAIL	19.1s	5788	6	FAIL	Briefly evaluates each idea	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run based on provided asserti…	3	2
