Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	0s	0	1	FAIL	Checks for product-marketing.md	The model output states 'No output files were captured' and contains only a markdown text body. No file named 'product-marketing.md' is present or referenced as a generated artifact.	1	1
ab-testing	eval-1	with_skill	FAIL	0s	0	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	0s	0	3	FAIL	Walks through INIT phase with structured intake	The output is a final plan. It assumes data rather than walking through an intake process. For example, Section 3 states 'Total Monthly Budget: $20,000/mo' and 'Current CAC: ~$400' as facts provided …	1	1
ab-testing	eval-1	with_skill	FAIL	0s	0	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	0s	0	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	0s	0	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	0s	0	7	FAIL	Section 10 names funding-stage capability unlocks explicitly	Section 10 lists quarterly focuses and outcomes (e.g., 'Hire core team', 'Optimize Paid'). It mentions 'Funding State: Series A deployed' but does not explicitly name 'funding-stage capability unlock…	1	1
ab-testing	eval-1	with_skill	FAIL	0s	0	8	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	0s	0	9	FAIL	Section 12 cross-references all 139 marketing-ideas with client-specific status	Section 12 is titled 'Tactical Idea Bank (Selected)' and lists only 4 specific ideas. It does not contain 139 ideas, nor does it reference a list of 139 items.	1	1
ab-testing	eval-1	with_skill	FAIL	0s	0	10	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	0s	0	11	FAIL	Plan is specific to the client (their budget, team, current channels), not generic	"The plan uses generic placeholders like '[Client Name]', '[Category, e.g., ""Sales Engagement Intelligence Platform""]', and '[ICP, e.g., ""Mid-Market B2B SaaS companies""]'. It assumes 'Series A B2B Saa…"	1	1
ab-testing	eval-2	with_skill	FAIL	29.5s	171009	1	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	29.5s	171009	2	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	29.5s	171009	3	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	29.5s	171009	4	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	29.5s	171009	5	PASS			2	1
ab-testing	eval-2	with_skill	FAIL	29.5s	171009	6	FAIL	Identifies binding-constraint AARRR stage (likely Activation or Referral)	The model explicitly asks for funnel data in Phase 1 ('Do you have any users yet? If so, what are your current... retention rates?') rather than identifying a specific binding constraint. While it me…	2	1
ab-testing	eval-2	with_skill	FAIL	29.5s	171009	7	FAIL	Executive summary can be lifted into an investor update	The 'Executive Summary' section is a meta-description of a plan ('The Ask to Investors: We have a high-retention product...') rather than a polished narrative suitable for direct lifting. It says 'I …	2	1
ab-testing	eval-2	with_skill	FAIL	29.5s	171009	8	PASS			2	1
ab-testing	eval-3	with_skill	FAIL	11.3s	169327	1	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.3s	169327	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	11.3s	169327	3	PASS			3	1
