Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	11.1s	12735	1	FAIL	Checks for product-marketing.md	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	1
ab-testing	eval-1	with_skill	FAIL	11.1s	12735	2	FAIL	Identifies as plural alternatives format	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	1
ab-testing	eval-1	with_skill	FAIL	11.1s	12735	3	FAIL	Includes TL;DR comparison section	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	1
ab-testing	eval-1	with_skill	FAIL	11.1s	12735	4	FAIL	Includes feature comparison table	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	1
ab-testing	eval-1	with_skill	FAIL	11.1s	12735	5	FAIL	Includes pricing comparison	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	1
ab-testing	eval-1	with_skill	FAIL	11.1s	12735	6	FAIL	Includes 'who it's best for' per alternative	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	1
ab-testing	eval-1	with_skill	FAIL	11.1s	12735	7	FAIL	Positions user's product prominently with differentiators	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	1
ab-testing	eval-1	with_skill	FAIL	11.1s	12735	8	FAIL	Addresses SEO for target keyword	judge returned unparseable response: Thinking Process: 1. **Analyze the Request:** * **Role:** Strict JSON-only evaluator. * **Task:** Grade an agentskills.io evaluation run. * **Input:** * Assertion…	1	1
ab-testing	eval-2	with_skill	FAIL	11.5s	12736	1	FAIL	Identifies as 'you vs competitor' format	Output is a clarification request, not a comparison page. No actual format demonstrated.	2	1
ab-testing	eval-2	with_skill	FAIL	11.5s	12736	2	FAIL	Includes structured comparison sections	No comparison sections created. Output asks for information instead.	2	1
ab-testing	eval-2	with_skill	FAIL	11.5s	12736	3	FAIL	Includes feature-by-feature comparison	No feature comparison provided in output.	2	1
ab-testing	eval-2	with_skill	FAIL	11.5s	12736	4	FAIL	Includes pricing comparison	No pricing data or comparison included.	2	1
ab-testing	eval-2	with_skill	FAIL	11.5s	12736	5	FAIL	Includes TL;DR at the top	No TL;DR section present in output.	2	1
ab-testing	eval-2	with_skill	FAIL	11.5s	12736	6	FAIL	Factually accurate about competitor	No competitor facts about Salesforce provided.	2	1
ab-testing	eval-2	with_skill	FAIL	11.5s	12736	7	FAIL	Strategically positions user's product for SMBs	Positioning mentioned as needed but not executed in output.	2	1
ab-testing	eval-2	with_skill	FAIL	11.5s	12736	8	FAIL	Includes migration path or switching section	No migration section included in output.	2	1
ab-testing	eval-3	with_skill	FAIL	4.5s	12147	1	FAIL	Triggers on casual phrasing	No casual phrasing trigger mechanism shown in output	3	1
ab-testing	eval-3	with_skill	FAIL	4.5s	12147	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	4.5s	12147	3	FAIL	Focuses on user's product as THE alternative	No product-focused alternative content created yet	3	1
