Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	7.3s	20464	1	FAIL	Checks for product-marketing.md	judge did not provide concrete evidence	1	9
ab-testing	eval-1	with_skill	FAIL	7.3s	20464	2	FAIL	Applies 'track for decisions' principle	judge did not provide concrete evidence	1	9
ab-testing	eval-1	with_skill	FAIL	7.3s	20464	3	FAIL	Uses object_action naming convention	judge did not provide concrete evidence	1	9
ab-testing	eval-1	with_skill	FAIL	7.3s	20464	4	PASS			1	9
ab-testing	eval-1	with_skill	FAIL	7.3s	20464	5	FAIL	Provides GA4 implementation details	judge did not provide concrete evidence	1	9
ab-testing	eval-1	with_skill	FAIL	7.3s	20464	6	FAIL	Includes GTM data layer examples	judge did not provide concrete evidence	1	9
ab-testing	eval-1	with_skill	FAIL	7.3s	20464	7	FAIL	Output follows tracking plan format	judge did not provide concrete evidence	1	9
ab-testing	eval-2	with_skill	FAIL	9.8s	20708	1	PASS			2	9
ab-testing	eval-2	with_skill	FAIL	9.8s	20708	2	PASS			2	9
ab-testing	eval-2	with_skill	FAIL	9.8s	20708	3	PASS			2	9
ab-testing	eval-2	with_skill	FAIL	9.8s	20708	4	PASS			2	9
ab-testing	eval-2	with_skill	FAIL	9.8s	20708	5	PASS			2	9
ab-testing	eval-2	with_skill	FAIL	9.8s	20708	6	PASS			2	9
ab-testing	eval-3	with_skill	FAIL	13.2s	21057	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	9
ab-testing	eval-3	with_skill	FAIL	13.2s	21057	2	PASS			3	9
ab-testing	eval-3	with_skill	FAIL	13.2s	21057	3	PASS			3	9
ab-testing	eval-3	with_skill	FAIL	13.2s	21057	4	PASS			3	9
ab-testing	eval-3	with_skill	FAIL	13.2s	21057	5	PASS			3	9
ab-testing	eval-3	with_skill	FAIL	13.2s	21057	6	PASS			3	9
ab-testing	eval-3	with_skill	FAIL	13.2s	21057	7	PASS			3	9
ab-testing	eval-4	with_skill	FAIL	9.1s	20642	1	PASS			4	9
ab-testing	eval-4	with_skill	FAIL	9.1s	20642	2	FAIL	Defines full e-commerce event taxonomy	The output explicitly offers 'A full tracking plan document' as a future option ('Want me to go deeper on any of these?') rather than providing the full taxonomy in the current response.	4	9
ab-testing	eval-4	with_skill	FAIL	9.1s	20642	3	PASS			4	9
ab-testing	eval-4	with_skill	FAIL	9.1s	20642	4	PASS			4	9
ab-testing	eval-4	with_skill	FAIL	9.1s	20642	5	FAIL	Organizes by priority (must-have vs nice-to-have)	The output organizes events into 'Must-Have' and 'Plus These Foundational Events'. 'Foundational' is not the same label as 'nice-to-have', and the assertion requires the specific prioritization struc…	4	9
ab-testing	eval-4	with_skill	FAIL	9.1s	20642	6	FAIL	Provides tracking plan format output	The output is a conversational response with tables and code snippets, not a formal 'tracking plan format' (e.g., a structured document, CSV, or JSON schema). It explicitly states 'Want me to go deep…	4	9
ab-testing	eval-5	with_skill	FAIL	16.8s	21674	1	PASS			5	9
ab-testing	eval-5	with_skill	FAIL	16.8s	21674	2	PASS			5	9
ab-testing	eval-5	with_skill	FAIL	16.8s	21674	3	PASS			5	9
ab-testing	eval-5	with_skill	FAIL	16.8s	21674	4	PASS			5	9
ab-testing	eval-5	with_skill	FAIL	16.8s	21674	5	PASS			5	9
ab-testing	eval-5	with_skill	FAIL	16.8s	21674	6	PASS			5	9
ab-testing	eval-5	with_skill	FAIL	16.8s	21674	7	PASS			5	9
ab-testing	eval-6	with_skill	FAIL	3.2s	20040	1	PASS			6	9
ab-testing	eval-6	with_skill	FAIL	3.2s	20040	2	PASS			6	9
ab-testing	eval-6	with_skill	FAIL	3.2s	20040	3	PASS			6	9
ab-testing	eval-6	with_skill	FAIL	3.2s	20040	4	PASS			6	9
