Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	14.8s	4209	1	FAIL	Checks for product-marketing.md	No mention of 'product-marketing.md' in the output; output files section confirms 'No output files were captured' and text contains no file references.	1	1
ab-testing	eval-1	with_skill	FAIL	14.8s	4209	2	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	14.8s	4209	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	14.8s	4209	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	14.8s	4209	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	14.8s	4209	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	14.8s	4209	7	FAIL	Includes Quick Wins, High-Impact Changes, Test Hypotheses	Output includes sections 'Quick Wins (Same-Day Fixes)' and 'High-Impact Changes (Week-Level Effort)', but does NOT contain a section for 'Test Hypotheses'. It contains 'Measurement Plan' and 'Clarify…	1	1
ab-testing	eval-2	with_skill	FAIL	11.8s	3863	1	FAIL	Applies social auth options guidance	"judge returned unparseable response: { ""assertion_results"": [ { ""text"": ""Applies social auth options guidance"", ""passed"": true, ""evidence"": ""The model provides detailed guidance on implementation inc…"	2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	3863	2	FAIL	Recommends Google and Microsoft for B2B	"judge returned unparseable response: { ""assertion_results"": [ { ""text"": ""Applies social auth options guidance"", ""passed"": true, ""evidence"": ""The model provides detailed guidance on implementation inc…"	2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	3863	3	FAIL	Explains conversion benefits of SSO	"judge returned unparseable response: { ""assertion_results"": [ { ""text"": ""Applies social auth options guidance"", ""passed"": true, ""evidence"": ""The model provides detailed guidance on implementation inc…"	2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	3863	4	FAIL	Recommends prominent placement	"judge returned unparseable response: { ""assertion_results"": [ { ""text"": ""Applies social auth options guidance"", ""passed"": true, ""evidence"": ""The model provides detailed guidance on implementation inc…"	2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	3863	5	FAIL	Addresses visual separation from email signup	"judge returned unparseable response: { ""assertion_results"": [ { ""text"": ""Applies social auth options guidance"", ""passed"": true, ""evidence"": ""The model provides detailed guidance on implementation inc…"	2	1
ab-testing	eval-2	with_skill	FAIL	11.8s	3863	6	FAIL	Provides implementation recommendations	"judge returned unparseable response: { ""assertion_results"": [ { ""text"": ""Applies social auth options guidance"", ""passed"": true, ""evidence"": ""The model provides detailed guidance on implementation inc…"	2	1
