Skill	Eval	Mode	Overall Result	Time	Total Tokens	Assertion #	Assertion Status	Assertion Name	Evidence	Run	Iteration
ab-testing	eval-1	with_skill	FAIL	14.9s	24351	1	FAIL	Checks for product-marketing.md	Output files section states: 'No output files were captured.' The response is conversational text only.	1	1
ab-testing	eval-1	with_skill	FAIL	14.9s	24351	2	FAIL	Applies 3-click rule and flat vs deep principles	While the ASCII tree shows a shallow structure (max depth 2-3), the model does not explicitly mention or apply the '3-click rule' or discuss 'flat vs deep' principles in the text. It provides a struc…	1	1
ab-testing	eval-1	with_skill	FAIL	14.9s	24351	3	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	14.9s	24351	4	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	14.9s	24351	5	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	14.9s	24351	6	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	14.9s	24351	7	PASS			1	1
ab-testing	eval-1	with_skill	FAIL	14.9s	24351	8	PASS			1	1
ab-testing	eval-2	with_skill	FAIL	7.0s	23507	1	FAIL	Recommends content inventory first	judge did not provide concrete evidence	2	1
ab-testing	eval-2	with_skill	FAIL	7.0s	23507	2	FAIL	Groups related pages logically	judge did not provide concrete evidence	2	1
ab-testing	eval-2	with_skill	FAIL	7.0s	23507	3	FAIL	Applies 3-click rule	judge did not provide concrete evidence	2	1
ab-testing	eval-2	with_skill	FAIL	7.0s	23507	4	FAIL	Redesigns navigation structure	judge did not provide concrete evidence	2	1
ab-testing	eval-2	with_skill	FAIL	7.0s	23507	5	FAIL	Provides ASCII tree or visual sitemap	judge did not provide concrete evidence	2	1
ab-testing	eval-2	with_skill	FAIL	7.0s	23507	6	FAIL	Addresses URL redirects for moved pages	judge did not provide concrete evidence	2	1
ab-testing	eval-2	with_skill	FAIL	7.0s	23507	7	FAIL	Reduces header navigation items	judge did not provide concrete evidence	2	1
ab-testing	eval-3	with_skill	FAIL	9.5s	23779	1	FAIL	Triggers on casual phrasing	judge did not provide concrete evidence	3	1
ab-testing	eval-3	with_skill	FAIL	9.5s	23779	2	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	9.5s	23779	3	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	9.5s	23779	4	PASS			3	1
ab-testing	eval-3	with_skill	FAIL	9.5s	23779	5	FAIL	Addresses SEO implications	judge did not provide concrete evidence	3	1
ab-testing	eval-3	with_skill	FAIL	9.5s	23779	6	PASS			3	1
ab-testing	eval-4	with_skill	FAIL	14.3s	24318	1	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.3s	24318	2	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.3s	24318	3	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.3s	24318	4	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.3s	24318	5	PASS			4	1
ab-testing	eval-4	with_skill	FAIL	14.3s	24318	6	FAIL	Cross-references programmatic-seo skill	The output references 'Programmatic SEO' conceptually but does not explicitly cross-reference a specific skill or section named 'programmatic-seo skill'.	4	1
ab-testing	eval-5	with_skill	FAIL	3.0s	23114	1	FAIL	Provides visual sitemap in Mermaid format	Model output contains only a request for clarification ('I'll need a bit more context first') and lists future deliverables, but does not contain any Mermaid code or diagram.	5	1
ab-testing	eval-5	with_skill	FAIL	3.0s	23114	2	FAIL	Shows hierarchical page relationships	No sitemap or hierarchy is presented in the output.	5	1
ab-testing	eval-5	with_skill	FAIL	3.0s	23114	3	FAIL	Includes all major sections	No sections are listed; the model asked the user to provide them.	5	1
ab-testing	eval-5	with_skill	FAIL	3.0s	23114	4	FAIL	Uses clear, readable format	No sitemap content was generated to evaluate formatting.	5	1
ab-testing	eval-5	with_skill	FAIL	3.0s	23114	5	FAIL	Suitable for sharing with design team	The output is a conversational response asking for inputs, not a usable artifact for the design team.	5	1
ab-testing	eval-6	with_skill	FAIL	3.4s	23152	1	PASS			6	1
ab-testing	eval-6	with_skill	FAIL	3.4s	23152	2	FAIL	References or defers to seo-audit skill	The model mentions a 'site-architecture skill' but does not mention an 'seo-audit skill' or defer to it.	6	1
ab-testing	eval-6	with_skill	FAIL	3.4s	23152	3	PASS			6	1
